Player,EV
Aaron B,3.108953008524584
Aaron R,-0.6846115163827416
Adam E,-1.1406628642551833
Adam L,-0.6846115163827416
Adam S,1.0682432713187766
Adrian C,-2.284766778909016
Alex H,-2.753292041246594
Alex M,-0.8107208331596959
Alexander vdE,-0.6846115163827416
Alexis M,-1.2339501931442376
Andrew C,-1.0013899488752123
Andrew M,-3.401438643169374
Ashwin G,-0.6846115163827416
Austin L,2.5265364290189
Ben K,-0.6846115163827416
Ben P,-3.8814342553866212
Benjamin M,-0.6846115163827416
Benjamin P,-0.6846115163827416
Bob P,1.7829234882376652
Buster S,-0.6846115163827416
Caleb G,1.2175393609144998
Caleb K,-4.903823319074579
Cameron B,-0.6846115163827416
Chris B,-0.6846115163827416
Chris D,2.0428606070735222
Chris O,0.012921237429298404
Chris Po,-0.6846115163827416
Chris P,-2.7872663483031417
Chris R,-0.5237261775391223
Chris W,-0.6846115163827416
Chris Y,-1.7097875884647258
Christian V,-0.6846115163827416
Christopher C,-0.6846115163827416
Christopher G,3.6568590372881262
Cody-Rayce M,-0.6846115163827416
Colin C,-0.6846115163827416
Colton M,-2.5957052905607734
Colton S,-1.460704385155898
Curtis K,-2.642288405174801
Damian S,-0.9131184319320326
Damon B,-1.9978695356426943
Dan A,2.336366843356585
Daniel G,7.626740907382842
Daniel M,4.066455134567193
Daniel Z,-0.6837268458996927
David W,-0.6846115163827416
Derek S,-0.6846115163827416
Dewitt K,-0.6846115163827416
Dirk E,0.31901822499761634
Dominic M,-4.837099693578574
Dyson F,-0.6846115163827416
Elliot H,3.0346452846156198
Emmett F,1.770500270624808
Eric S,1.4435490960712114
Ethan L,-0.05160477019507148
Evan C,4.911845863839265
Evan E,-0.6846115163827416
Evan L,2.7240492163789196
Evandro A,-0.6846115163827416
François R,0.6901500651472916
Galen G,-0.6846115163827416
Georgii C,-1.3927835074574473
Giuseppe Z,-0.6846115163827416
Jack F,-2.99115909656451
Jack H,1.364694099298467
Jacob B,0.5329676090033141
Jacob H,-0.6846115163827416
Jacob M,-0.6846115163827416
Jaidin M,-1.064860009796233
Jake K,-0.6846115163827416
James M,-2.46745095448722
James T,-3.5674590051162602
Jamie W,1.9612362286343017
Jay H,-0.6846115163827416
Jeff H,0.5329676090033141
Jeremy E,1.0695024271822766
Jesse F,-0.6846115163827416
Jessica K,-0.6846115163827416
Joaquin E,1.970334542679132
Joe A,-0.6846115163827416
Joe H,-0.6846115163827416
Joe L,-0.6846115163827416
Joe T,0.1449581305851394
Joel G,-0.6846115163827416
John D,2.923701314102646
John P,1.9339386247638064
Johnny M,3.4419061451237045
Jonathan R,-1.765923005090233
Jordan M,6.3739468895145635
Jordan Mc,-0.6846115163827416
Joseph F,-0.6846115163827416
Joseph H,-3.3166858223882243
Joseph S,-3.8814342553866212
Josiah L,6.22286213811834
Justin P,1.957387293442852
Keelan T,5.431878045958393
Kenny W,-0.05160477019507148
Kevin C,-3.8814342553866212
Kevin H,-4.16853983503018
Kevin I,-2.3300562426715636
Kip S,-2.1439527380171843
Kole D,-0.6846115163827416
Kyle C,-1.178588118338137
Leo R,-0.6846115163827416
Lotte P,3.640924569362323
Lukas M,3.832948404008549
Luke S,-0.6846115163827416
Majo G,2.296360300207748
Maranda L,1.3531192665667957
Mark U,-0.6846115163827416
Martin J,-0.6846115163827416
Matt F,-2.2186147302965753
Matt K,-6.5951020030472645
Matt P,-1.3927835074574473
Matt S,-0.6846115163827416
Matthew G,1.5504986509815664
Matthew H,4.100436482252881
Matthew K,-4.837099693578574
Matthew N,-0.6846115163827416
Matthew S,-0.6846115163827416
Matthias H,1.8260769563940071
Max K,-1.5936917780280742
Mia N,-0.6846115163827416
Michael M,0.1449581305851394
Miguel B,-2.8085375225251243
Miranda J,-1.2282109555520853
Mitchel S,2.2115811230041684
Nathan C,-0.6846115163827416
Nathan N,-0.6846115163827416
Nicholas K,-3.1024109224604035
Nick A,2.5581586295365533
Nick G,-0.6846115163827416
Nick L,1.7021344549854598
Nik S,1.4758813129777693
Nolan F,-0.6846115163827416
Oceane P,-0.6846115163827416
Oconnor M,-0.6846115163827416
Oskar T,4.119968058219609
Parker D,2.9462008777598
Paul G,-0.37269141959830787
Paul R,-3.8814342553866212
Paul S,0.23262319318867947
Philip B,4.146660001184048
Preston B,0.4451079387823629
Quill M,-3.297441865179509
Rafael F,1.9609869192021496
Richard K,4.605930252508262
Richard S,-0.6846115163827416
Robert M,-2.2418894154017615
Rudy B,-0.6846115163827416
Ryan H,5.127468085919935
Ryan M,4.720356943841634
Salvatore P,-0.6846115163827416
Sawyer T,6.505824066777786
Seaver S,-0.6846115163827416
Stefan V,-1.3927835074574473
Stephen H,3.3458628122302327
Steve T,-0.45359481175495564
Sylvain T,-7.487518677242647
Timothy B,-0.05160477019507148
Tomás B,3.687772024449315
Toni S,-0.6846115163827416
Tony D,-0.6846115163827416
Tony G,2.9430615072887996
Travis C,-0.6846115163827416
Tristan W,-0.05160477019507148
Troy S,-0.6846115163827416
Tyler D,1.0830388160201039
Vasco M,2.9769275715955827
Vincent L,2.074821073622258
Wei C,1.364694099298467
Wesley C,-0.19309398141643386
Wyatt A,-2.9850943801168994
Yaron B,-0.6846115163827416
Yifan Y,-0.6846115163827416
Zach C,4.072191970942519
Zach G,-0.6846115163827416
Zachary S,0.5329676090033141
Zack H,0.9515121800147113
Zeke W,-0.292067778696694
