MatchCode,Format,Week,Time,Player,Result,n_matches,n_wins,n_losses,last_match,Score,weeks_in_league,team_league
AFR1083,AFR,1,2021-07-18T23:08:55Z,Damian S,Loss,4,0,4,FALSE,2-0,6,FALSE
AFR1084,AFR,1,2021-07-19T00:04:58Z,Sylvain T,Win,4,2,2,FALSE,2-1,6,FALSE
AFR1084,AFR,1,2021-07-19T00:04:58Z,Pierre-Marc D,Loss,2,1,1,FALSE,2-1,6,FALSE
AFR1085,AFR,1,2021-07-19T09:39:04Z,Tia T,Win,5,4,1,FALSE,2-0,6,FALSE
AFR1085,AFR,1,2021-07-19T09:39:04Z,Pierre-Marc D,Loss,3,1,2,FALSE,2-0,6,FALSE
AFR1086,AFR,1,2021-07-19T09:42:44Z,Eric S,Win,2,1,1,FALSE,2-0,6,FALSE
AFR1086,AFR,1,2021-07-19T09:42:44Z,Michael M,Loss,1,0,1,FALSE,2-0,6,FALSE
AFR1087,AFR,1,2021-07-19T10:38:25Z,Pierre-Marc D,Win,4,2,2,FALSE,2-1,6,FALSE
AFR1087,AFR,1,2021-07-19T10:38:25Z,Eric S,Loss,3,1,2,FALSE,2-1,6,FALSE
AFR1088,AFR,1,2021-07-19T10:59:13Z,Michael M,Win,2,1,1,FALSE,2-0,6,FALSE
AFR1088,AFR,1,2021-07-19T10:59:13Z,Pierre-Marc D,Loss,5,2,3,FALSE,2-0,6,FALSE
AFR1089,AFR,1,2021-07-19T11:44:31Z,Austin C,Win,1,1,0,FALSE,2-0,6,FALSE
AFR1089,AFR,1,2021-07-19T11:44:31Z,Eric S,Loss,4,1,3,FALSE,2-0,6,FALSE
AFR1090,AFR,1,2021-07-19T12:42:59Z,Johnny M,Win,5,3,2,FALSE,2-1,6,FALSE
AFR1090,AFR,1,2021-07-19T12:42:59Z,Austin C,Loss,2,1,1,FALSE,2-1,6,FALSE
AFR1091,AFR,1,2021-07-19T13:31:55Z,Damian S,Win,5,1,4,FALSE,2-0,6,FALSE
AFR1091,AFR,1,2021-07-19T13:31:55Z,Gordon C,Loss,4,0,4,FALSE,2-0,6,FALSE
AFR1092,AFR,1,2021-07-19T13:44:59Z,Austin C,Win,3,2,1,FALSE,2-0,6,FALSE
AFR1092,AFR,1,2021-07-19T13:44:59Z,Angus M,Loss,1,0,1,FALSE,2-0,6,FALSE
