Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
6/25/2023 12:42:12,Joe T - elasticity#07466,Phillip M - Fat_kitty#63794,2-1,,1,,,,,,
6/25/2023 13:47:26,James S - Zoid#33631,Johnny M - Johnny#69519,2-1,,1,,,,,,
6/25/2023 14:51:23,Adam S - wizma#29010,Trevor F - treskies#75643,2-1,,1,Good games!,,,,,
6/25/2023 15:31:21,Michael M - Atombomb11991#07305,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,,,,
6/25/2023 15:42:00,James S - Zoid#33631,John P - gokuorgohome#51511,2-0,,1,,,,,,
6/25/2023 17:56:46,Eric S - Smitte#94855,Jeremy E - Lhurgoyf#37289,2-0,,1,,,,,,
6/25/2023 18:10:11,Pedro D - Goombassa#17203,Eric S - Smitte#94855,2-0,,1,GGs,,,,,
6/25/2023 18:50:12,Sawyer T - soyboy#35469,Jeremy E - Lhurgoyf#37289,2-0,,1,,,,,,
6/25/2023 19:47:10,Bob P - HIT#08120,Pedro D - Goombassa#17203,2-1,,1,,,,,,
6/25/2023 20:12:07,Maranda L - blackcanary#59791,Serge T - Sergyboy514#39979,2-1,,1,,,,,,
6/25/2023 20:58:21,Serge T - Sergyboy514#39979,Nicholas K - Bionick#55161,2-0,,1,,,,,,
6/25/2023 21:17:50,Mike P - unwieldybiscuit#26471,Nicholas K - Bionick#55161,2-1,,1,,,,,,
6/25/2023 21:18:21,Nik S - njsiii#50504,Daniel G - Friskyhobbit#43185,2-1,,1,,,,,,
6/25/2023 21:34:58,Adam S - wizma#29010,Nik S - njsiii#50504,2-0,,1,Good games!,,,,,
6/25/2023 21:55:45,Pedro D - Goombassa#17203,Nik S - njsiii#50504,2-0,,1,GGs,,,,,
6/25/2023 22:30:13,Adam S - wizma#29010,Nicholas K - Bionick#55161,2-0,,1,Let’s go RB!,,,,,
6/25/2023 22:32:08,Nik S - njsiii#50504,Maranda L - blackcanary#59791,2-0,,1,,,,,,
6/25/2023 22:48:49,Pedro D - Goombassa#17203,Pierre-Marc D - pmduguay#67919,2-0,,1,GGs,,,,,
6/25/2023 23:09:43,Jordan M - JMTron#46639,Jaidin M - MnemonicDevice#38774,2-0,,1,,,,,,
6/25/2023 23:29:22,Reed P - bigfingsnake#86869,Pierre-Marc D - pmduguay#67919,2-0,,1,,,,,,
6/25/2023 23:50:51,Dan A - BEATDOWNBRINGA#04779,Jacob V - Drysle#29533,2-0,,1,,,,,,
6/26/2023 0:20:31,Michael B - Monkeymage#12141,Jacob V - Drysle#29533,2-0,,1,,,,,,
6/26/2023 0:22:18,Mitchel S - SpaghettiMitch#18619,Reed P - bigfingsnake#86869,2-1,,1,,,,,,
6/26/2023 1:18:20,Yoshitake M - cradilygo#76222,Mitchel S - SpaghettiMitch#18619,2-1,,1,,,,,,
6/26/2023 12:21:57,Evan C - PeasOfCrab#00133,Chris P - Joker01#66827,2-0,,1,,,,,,
6/26/2023 12:43:50,Dan A - BEATDOWNBRINGA#04779,Evan C - PeasOfCrab#00133,2-0,,1,,,,,,
6/26/2023 12:57:22,Sawyer T - soyboy#35469,Daniel G - Friskyhobbit#43185,2-0,,1,,,,,,
6/26/2023 14:05:49,Chris P - Joker01#66827,Daniel G - Friskyhobbit#43185,2-1,,1,,,,,,
6/26/2023 15:00:59,Reed P - bigfingsnake#86869,Serge T - Sergyboy514#39979,2-1,,1,,,,,,
6/26/2023 16:05:14,Wyatt C - hotdolphin#30769,John P - gokuorgohome#51511,2-0,,1,,,,,,
6/26/2023 17:27:45,Dan A - BEATDOWNBRINGA#04779,Serge T - Sergyboy514#39979,2-1,,1,,,,,,
6/26/2023 18:35:44,Jordan M - JMTron#46639,Blake R - Trogdorr#20061,2-1,,1,,,,,,
6/26/2023 18:47:36,Rafael F - Prudent#24319,Adam S - wizma#29010,2-1,,1,tight games!,,,,,
6/26/2023 19:21:27,Dan A - BEATDOWNBRINGA#04779,Matthew K - Tortag#62633,2-1,,1,,,,,,
6/26/2023 19:26:33,Ryan D - TheSlickness#10857,John P - gokuorgohome#51511,2-0,,1,,,,,,
6/26/2023 19:48:48,Maranda L - blackcanary#59791,Matthew K - Tortag#62633,2-1,,1,,,,,,
6/26/2023 20:16:23,Daniel G - Friskyhobbit#43185,Matthew K - Tortag#62633,2-0,,1,,,,,,
6/26/2023 20:23:26,Rafael F - Prudent#24319,Reed P - bigfingsnake#86869,2-0,,1,,,,,,
6/26/2023 20:47:21,Matthew K - Tortag#62633,Drake M - KoMODO#43282,2-0,,1,,,,,,
6/26/2023 21:00:07,Daniel G - Friskyhobbit#43185,John B - Vasilas#78257,2-0,,1,,,,,,
6/26/2023 21:01:42,Steve T - strout#45062,Maranda L - blackcanary#59791,2-1,,1,lands :(,,,,,
6/26/2023 21:26:16,Drake M - KoMODO#43282,Sawyer T - soyboy#35469,2-0,,1,,,,,,
6/26/2023 21:27:30,Reed P - bigfingsnake#86869,Chris Y - Yorke on Games#66909,2-1,,1,"rise up, ent",,,,,
6/26/2023 21:48:03,Drake M - KoMODO#43282,Zeke W - smarmyplatapus#30066,2-0,,1,,,,,,
6/26/2023 22:03:47,Doug D - dougnukem#51899,Zeke W - smarmyplatapus#30066,2-1,,1,Note: Doug (me) had to pause the match after game 1 due to IRL stuff ,,,,,
