Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
7/2/2023 23:23:30,Evan C - PeasOfCrab#00133,Zeke W - smarmyplatapus#30066,2-0,,1,,,,,,
7/2/2023 23:51:54,Wei C - Azayaka#83352,Evan C - PeasOfCrab#00133,2-1,,1,,,,,,
7/3/2023 0:13:08,Jacob V - Drysle#29533,Wei C - Azayaka#83352,2-1,,1,,,,,,
7/3/2023 0:24:16,Evan C - PeasOfCrab#00133,Caleb K - BlackEcho#09078,2-0,,1,,,,,,
7/3/2023 0:51:41,Wei C - Azayaka#83352,Eric S - Smitte#94855,2-0,,1,,,,,,
7/3/2023 12:21:00,Johnny M - Johnny#69519,Kevin I - kni1993#29285,2-0,,1,,,,,,
7/3/2023 13:41:50,Serge T - Sergyboy514#39979,Jordan M - JMTron#46639,2-1,,1,,,,,,
7/3/2023 14:31:55,Rafael F - Prudent#24319,Jordan M - JMTron#46639,2-1,,1,gg!,,,,,
7/3/2023 15:37:24,Trevor F - treskies#75643,John P - gokuorgohome#51511,2-1,,1,,,,,,
7/3/2023 16:04:02,Wyatt C - hotdolphin#30769,Sawyer T - soyboy#35469,2-0,,1,,,,,,
7/3/2023 19:56:25,Jeremy E - Lhurgoyf#37289,John B - Vasilas#78257,2-1,,1,,,,,,
7/3/2023 20:57:11,Steve T - strout#45062,Sawyer T - soyboy#35469,2-1,,1,GGs!,,,,,
7/3/2023 20:59:34,Blake R - Trogdorr#20061,Michael M - Atombomb11991#07305,2-1,,1,,,,,,
7/3/2023 21:12:11,Matthew K - Tortag#62633,Trevor F - treskies#75643,2-0,,1,,,,,,
7/3/2023 21:28:25,Sawyer T - soyboy#35469,Michael M - Atombomb11991#07305,2-0,,1,,,,,,
7/3/2023 22:27:55,Cody-Rayce MG - Rayce#56572,Zeke W - smarmyplatapus#30066,2-0,,1,gg fun stips,,,,,
7/3/2023 23:40:26,Sean Sp - Talrand#06333,Wyatt C - hotdolphin#30769,2-0,,1,,,,,,
7/4/2023 0:07:20,Damian S - ButCrackMagic#71223,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,,,,
7/4/2023 0:46:35,Evan C - PeasOfCrab#00133,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,,,,
7/4/2023 1:09:19,Adam S - wizma#29010,Yoshitake M - cradilygo#76222,2-1,,1,Incredible match!,,,,,
7/4/2023 2:04:37,Michael B - Monkeymage#12141,Dustin D - Bloone#16018,2-0,,1,,,,,,
7/4/2023 12:26:03,Rafael F - Prudent#24319,Pierre-Marc D - pmduguay#67919,2-0,,1,some great games!,,,,,
7/4/2023 13:38:48,Emmett F - Sepulchure#51526,Yoshitake M - cradilygo#76222,2-0,,1,,,,,,
7/4/2023 14:32:10,Caleb K - BlackEcho#09078,Yoshitake M - cradilygo#76222,2-0,,1,,,,,,
7/4/2023 15:06:59,Dustin D - Bloone#16018,Matthew K - Tortag#62633,2-0,,1,,,,,,
7/4/2023 15:43:04,Caleb K - BlackEcho#09078,Dustin D - Bloone#16018,2-0,,1,,,,,,
7/4/2023 16:12:38,Emmett F - Sepulchure#51526,Dustin D - Bloone#16018,2-1,,1,,,,,,
7/4/2023 16:33:57,Blake R - Trogdorr#20061,Yoshitake M - cradilygo#76222,2-1,,1,,,,,,
7/4/2023 17:06:50,Blake R - Trogdorr#20061,Caleb G - Whynaut#28590,2-1,,1,,,,,,
7/4/2023 18:54:59,Phillip M - Fat_kitty#63794,Chris P - Joker01#66827,2-0,,1,,,,,,
7/4/2023 19:54:57,John R - Ged#72302,Michael B - Monkeymage#12141,2-1,,1,ggs,,,,,
7/4/2023 21:27:31,Dustin D - Bloone#16018,Phillip M - Fat_kitty#63794,2-0,,1,,,,,,
7/4/2023 23:39:08,Eric S - Smitte#94855,Michael B - Monkeymage#12141,2-1,,1,,,,,,
7/5/2023 0:18:31,Sean Sp - Talrand#06333,Blake R - Trogdorr#20061,2-0,,1,,,,,,
7/5/2023 0:22:52,Emmett F - Sepulchure#51526,Michael B - Monkeymage#12141,2-1,,1,,,,,,
7/5/2023 12:11:31,Eric S - Smitte#94855,Rafael F - Prudent#24319,2-0,,1,,,,,,
7/5/2023 12:57:59,Yoshitake M - cradilygo#76222,John R - Ged#72302,2-1,,1,,,,,,
7/5/2023 13:35:25,Eric S - Smitte#94855,John R - Ged#72302,2-1,,1,,,,,,
7/5/2023 14:30:12,Chris P - Joker01#66827,John R - Ged#72302,2-1,,1,,,,,,
7/5/2023 15:04:08,Jordan M - JMTron#46639,Zeke W - smarmyplatapus#30066,2-0,,1,,,,,,
7/5/2023 15:46:46,Jordan M - JMTron#46639,Deven W - deven#51146,2-0,,1,,,,,,
7/5/2023 18:29:13,John B - Vasilas#78257,Chris P - Joker01#66827,2-1,,1,,,,,,
7/5/2023 19:06:03,Chris R - Sinkwater#27508,Doug D - dougnukem#51899,2-1,,1,,,,,,
7/5/2023 19:07:11,John B - Vasilas#78257,Doug Co - daceris#24713,2-0,,1,,,,,,
7/5/2023 19:31:54,Serge T - Sergyboy514#39979,Chris R - Sinkwater#27508,2-1,,1,,,,,,
7/5/2023 19:51:55,Mike P - unwieldybiscuit#26471,Grey H - grensley#29260,2-1,,1,,,,,,
7/5/2023 20:00:23,Cody-Rayce MG - Rayce#56572,Nicholas K - Bionick#55161,2-1,,1,3-2 ggs drink stip,,,,,
7/5/2023 20:20:25,Nicholas K - Bionick#55161,Grey H - grensley#29260,2-0,,1,,,,,,
7/5/2023 21:04:42,Phillip M - Fat_kitty#63794,Nicholas K - Bionick#55161,2-0,,1,,,,,,
7/5/2023 21:19:00,Drake M - KoMODO#43282,Chris R - Sinkwater#27508,2-0,,1,,,,,,
7/5/2023 21:47:52,Drake M - KoMODO#43282,Dan A - BEATDOWNBRINGA#04779,2-0,,1,,,,,,
7/5/2023 22:00:19,Grey H - grensley#29260,Sean Sp - Talrand#06333,2-1,,1,,,,,,
7/5/2023 22:01:51,Maranda L - blackcanary#59791,Chris R - Sinkwater#27508,2-0,,1,,,,,,
7/5/2023 23:16:32,Deven W - deven#51146,Chris P - Joker01#66827,2-1,,1,,,,,,
7/5/2023 23:27:28,Maranda L - blackcanary#59791,Doug D - dougnukem#51899,2-0,,1,,,,,,
7/6/2023 0:05:40,Maranda L - blackcanary#59791,Mike P - unwieldybiscuit#26471,2-1,,1,,,,,,
7/6/2023 10:49:19,Eric S - Smitte#94855,Tony G - YnotRock#76764,2-0,,1,,,,,,
7/6/2023 12:36:44,Tony G - YnotRock#76764,Jordan M - JMTron#46639,2-1,,1,,,,,,
7/6/2023 14:32:20,Tony G - YnotRock#76764,Wei C - Azayaka#83352,2-0,,1,,,,,,
7/6/2023 15:48:23,Daniel G - Friskyhobbit#43185,Tony G - YnotRock#76764,2-0,,1,,,,,,
7/6/2023 18:29:12,Serge T - Sergyboy514#39979,Chris P - Joker01#66827,2-0,,1,,,,,,
7/6/2023 19:00:04,Daniel G - Friskyhobbit#43185,Dustin D - Bloone#16018,2-0,,1,,,,,,
7/6/2023 19:27:45,Chris P - Joker01#66827,Jaidin M - MnemonicDevice#38774,2-1,,1,,,,,,
7/6/2023 22:10:49,Grey H - grensley#29260,Maranda L - blackcanary#59791,2-1,,1,,,,,,
7/6/2023 22:30:17,Michael M - Atombomb11991#07305,Matthew K - Tortag#62633,2-1,,1,,,,,,
7/6/2023 22:58:30,Grey H - grensley#29260,Matthew K - Tortag#62633,2-1,,1,,,,,,
7/6/2023 23:28:51,Grey H - grensley#29260,Adam S - wizma#29010,2-1,,1,,,,,,
7/7/2023 9:44:16,Tony G - YnotRock#76764,Deven W - deven#51146,2-0,,1,,,,,,
7/7/2023 10:33:30,Jaidin M - MnemonicDevice#38774,Deven W - deven#51146,2-0,,1,,,,,,
7/7/2023 11:35:05,Joe T - elasticity#07466,Jaidin M - MnemonicDevice#38774,2-1,,1,,,,,,
7/7/2023 12:42:03,Joe T - elasticity#07466,Doug Co - daceris#24713,2-0,,1,,,,,,
7/7/2023 13:45:03,Joe T - elasticity#07466,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,,,,
7/7/2023 14:31:55,Doug D - dougnukem#51899,Joe T - elasticity#07466,2-1,,1,Colour pair doesn't matter for week 2,,,,,
7/7/2023 14:37:07,Adam S - wizma#29010,Doug Co - daceris#24713,2-1,,1,"Great games, so close!",,,,,
7/7/2023 16:16:44,Jaidin M - MnemonicDevice#38774,Doug Co - daceris#24713,2-1,,1,Ggs!,,,,,
7/7/2023 16:59:52,Mitchel S - SpaghettiMitch#18619,Jaidin M - MnemonicDevice#38774,2-0,,1,,Winner,Loser,,,
7/7/2023 17:04:40,Doug Co - daceris#24713,John R - Ged#72302,2-1,,1,W2 match,,,,,
7/7/2023 17:25:48,Paul G - TheDragon#61289,Nik S - njsiii#50504,2-0,,1,,RW,RW,,,
7/7/2023 17:53:06,Nik S - njsiii#50504,Lotte P - Lotte #93345,2-1,,1,,GW,BR,,,
7/7/2023 17:57:44,Paul G - TheDragon#61289,Johnny M - Johnny#69519,2-0,,1,,WB,BG,,,
7/7/2023 18:04:06,Doug Co - daceris#24713,Sawyer T - soyboy#35469,2-0,,1,ggs!,BR,UR,,,
7/7/2023 18:38:08,Lotte P - Lotte #93345,Sawyer T - soyboy#35469,2-0,,1,,WB,BR,,,
7/7/2023 19:41:36,Kevin I - kni1993#29285,Wesley L - weslars#49889,2-1,,1,,BG,BR,,,
7/7/2023 21:00:45,Kevin I - kni1993#29285,Bob P - HIT#08120,2-1,,1,,RW,WB,,,
7/7/2023 22:10:16,Steve T - strout#45062,Kevin I - kni1993#29285,2-1,,1,GGs!,RW,BR,,,
7/7/2023 22:11:32,Phillip M - Fat_kitty#63794,Wyatt C - hotdolphin#30769,2-1,,1,,UB,RG,,,
7/7/2023 22:35:52,Dan K - Fizishy#82483,Steve T - strout#45062,2-1,,1,,BR,BR,,,
7/7/2023 22:53:09,Johnny M - Johnny#69519,Kevin I - kni1993#29285,2-0,,1,,UR,WB,,,
7/7/2023 23:22:30,Dan K - Fizishy#82483,Joe T - elasticity#07466,2-0,,1,,WB,BR,,,
7/8/2023 0:02:51,Jeremy E - Lhurgoyf#37289,Kevin I - kni1993#29285,2-0,,1,ggs Kevin!,UB,UR,,,
7/8/2023 0:20:46,Philip B - Plipster#75000,Dan K - Fizishy#82483,2-1,,1,,RW,RG,,,
7/8/2023 2:17:52,Chris Y - Yorke on Games#66909,Philip B - Plipster#75000,2-1,,1,!,BR,GW,,,
7/8/2023 10:21:41,John R - Ged#72302,John B - Vasilas#78257,2-0,,1,ggs,BR,BR,,,
7/8/2023 10:30:54,Damian S - ButCrackMagic#71223,Johnny M - Johnny#69519,2-1,,1,,BR,BR,,,
7/8/2023 10:36:01,Rafael F - Prudent#24319,Serge T - Sergyboy514#39979,2-1,,1,good games!,BG,BR,,,
7/8/2023 11:04:46,John R - Ged#72302,Damian S - ButCrackMagic#71223,2-1,,1,Gandalf showdown!,WB,UR,,,
7/8/2023 12:00:35,Cody-Rayce MG - Rayce#56572,Lotte P - Lotte #93345,2-0,,1,ggs wp :),UR,UB,,,
7/8/2023 12:45:10,Jack H - Rakic#98298,Dan K - Fizishy#82483,2-0,,1,,WU,RW,,,
7/8/2023 13:39:38,Jack H - Rakic#98298,Chris Y - Yorke on Games#66909,2-1,,1,,GW,GU,,,
7/8/2023 13:40:41,Cody-Rayce MG - Rayce#56572,Steve T - strout#45062,2-1,,1,ggs tks for wheel stip,WB,WB,,,
7/8/2023 14:48:05,Daniel G - Friskyhobbit#43185,Bob P - HIT#08120,2-1,,1,,UB,BR,,,
7/8/2023 15:18:31,Jack H - Rakic#98298,Paul G - TheDragon#61289,2-1,,1,,UB,BR,,,
7/8/2023 15:42:49,Chris Y - Yorke on Games#66909,John P - gokuorgohome#51511,2-1,,1,"Take my Ring, please!!",GW,WB,,,
7/8/2023 15:47:49,James S - Zoid#33631,Paul G - TheDragon#61289,2-0,,1,,UB,UB,,,
7/8/2023 16:24:45,John P - gokuorgohome#51511,Jack H - Rakic#98298,2-1,,1,,RW,UR,,,
7/8/2023 16:42:54,James S - Zoid#33631,Jacob V - Drysle#29533,2-1,,1,,BR,BR,,,
7/8/2023 16:59:48,Adam S - wizma#29010,Chris Y - Yorke on Games#66909,2-1,,1,Sideboarded so hard I had to mull to 5! Gimli's Axe tho,RW,BG,,,
7/8/2023 17:09:45,Jacob V - Drysle#29533,Jack H - Rakic#98298,2-1,,1,,WB,BR,,,
7/8/2023 17:21:22,James S - Zoid#33631,John P - gokuorgohome#51511,2-1,,1,,WB,BR,,,
7/8/2023 18:40:14,Dustin D - Bloone#16018,John P - gokuorgohome#51511,2-1,,1,,WB,WU,,,
7/8/2023 19:02:45,Philip B - Plipster#75000,James S - Zoid#33631,2-1,,1,,WB,BG,,,
7/8/2023 19:44:58,Deven W - deven#51146,John P - gokuorgohome#51511,2-1,,1,,UR,GW,,,
7/8/2023 21:03:08,Deven W - deven#51146,Joe T - elasticity#07466,2-0,,1,,RW,UB,,,
7/8/2023 21:21:06,Michael B - Monkeymage#12141,Ryan D - TheSlickness#10857,2-0,,1,,RW,BR,,,
7/8/2023 22:06:25,Ryan D - TheSlickness#10857,Deven W - deven#51146,2-0,,1,,RW,BR,,,
7/8/2023 22:35:34,Michael B - Monkeymage#12141,Jeremy E - Lhurgoyf#37289,2-1,,1,,UR,WB,,,
7/8/2023 23:05:12,Jeremy E - Lhurgoyf#37289,Ryan D - TheSlickness#10857,2-0,,1,,BR,WB,,,
7/8/2023 23:41:06,Rafael F - Prudent#24319,Joe T - elasticity#07466,2-1,,1,gg,BR,UR,,,
7/9/2023 0:04:57,Drake M - KoMODO#43282,Eric S - Smitte#94855,2-1,,1,,WB,RW,,,
7/9/2023 0:34:18,Philip B - Plipster#75000,Drake M - KoMODO#43282,2-0,,1,,RG,RW,,,
7/9/2023 9:27:58,Nik S - njsiii#50504,James S - Zoid#33631,2-0,,1,,WB,UR,,,
7/9/2023 9:52:21,Bob P - HIT#08120,Nik S - njsiii#50504,2-0,,1,,BG,WU,,,
7/9/2023 10:36:26,Serge T - Sergyboy514#39979,Bob P - HIT#08120,2-0,,1,,RW,UR,,,
7/9/2023 11:36:13,Reed P - bigfingsnake#86869,Cody-Rayce MG - Rayce#56572,2-0,,1,,WB,UB,,,
7/9/2023 14:10:28,Emmett F - Sepulchure#51526,Serge T - Sergyboy514#39979,2-0,,1,,RW,WB,,,
7/9/2023 14:26:15,Wesley L - weslars#49889,Emmett F - Sepulchure#51526,2-0,,1,,UR,WB,,,
7/9/2023 15:05:09,Evan C - PeasOfCrab#00133,Tony G - YnotRock#76764,2-0,,1,,BR,UB,,,
7/9/2023 15:21:13,Cody-Rayce MG - Rayce#56572,Wesley L - weslars#49889,2-1,,1,ggs wp,BR,RG,,,
7/9/2023 15:30:12,Emmett F - Sepulchure#51526,Joe T - elasticity#07466,2-0,,1,,BR,BG,,,
7/9/2023 15:38:01,Michael M - Atombomb11991#07305,Serge T - Sergyboy514#39979,2-0,,1,,RW,GW,,,
7/9/2023 18:41:51,Rafael F - Prudent#24319,Jacob V - Drysle#29533,2-0,,1,sorry about the mana issues =/,UB,BG,,,
7/9/2023 20:23:11,Joe T - elasticity#07466,Cody-Rayce MG - Rayce#56572,2-1,,1,,WB,BG,,,
7/9/2023 22:19:50,Maranda L - blackcanary#59791,Steve T - strout#45062,2-1,,1,,RW,BG,,,
7/9/2023 22:27:33,Grey H - grensley#29260,Nicholas K - Bionick#55161,2-1,,1,,BR,BR,,,
7/9/2023 22:29:53,Michael B - Monkeymage#12141,Daniel G - Friskyhobbit#43185,2-0,,1,,UB,BG,,,
7/9/2023 22:48:48,Mike P - unwieldybiscuit#26471,Nicholas K - Bionick#55161,2-1,,1,,BG,WB,,,
7/9/2023 23:16:45,Mike P - unwieldybiscuit#26471,Grey H - grensley#29260,2-1,,1,,WB,UB,,,
7/9/2023 23:29:28,Daniel G - Friskyhobbit#43185,Maranda L - blackcanary#59791,2-0,,1,,BR,UR,,,
7/9/2023 23:52:59,Deven W - deven#51146,Jacob V - Drysle#29533,2-0,,1,,RG,UB,,,
7/10/2023 0:28:09,Jacob V - Drysle#29533,Jeremy E - Lhurgoyf#37289,2-1,,1,,UR,BG,,,
7/10/2023 1:08:01,Mitchel S - SpaghettiMitch#18619,Yoshitake M - cradilygo#76222,2-0,,1,,UB,BG,,,
7/10/2023 12:44:11,Daniel G - Friskyhobbit#43185,Nik S - njsiii#50504,2-1,,1,,UR,BR,,,
7/10/2023 14:44:16,Dan A - BEATDOWNBRINGA#04779,Wyatt C - hotdolphin#30769,2-0,,1,,UR,BR,,,
7/10/2023 15:36:57,Phillip M - Fat_kitty#63794,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,WB,GW,,,
7/10/2023 15:38:39,Sawyer T - soyboy#35469,Wesley L - weslars#49889,2-1,,1,,UB,WB,,,
7/10/2023 15:42:31,Adam S - wizma#29010,Wyatt C - hotdolphin#30769,2-0,,1,Good games!,BR,UR,,,
7/10/2023 16:26:15,Sawyer T - soyboy#35469,Phillip M - Fat_kitty#63794,2-1,,1,,RW,BG,,,
7/10/2023 17:25:14,Chris P - Joker01#66827,Eric S - Smitte#94855,2-1,,1,,WB,WB,,,
7/10/2023 17:49:16,Johnny M - Johnny#69519,Doug Co - daceris#24713,2-0,,1,,RW,WB,,,
7/10/2023 18:06:58,Eric S - Smitte#94855,Phillip M - Fat_kitty#63794,2-0,,1,,UB,UR,,,
7/10/2023 18:12:29,Blake R - Trogdorr#20061,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,BR,BR,,,
7/10/2023 18:50:36,Damian S - ButCrackMagic#71223,Phillip M - Fat_kitty#63794,2-1,,1,,RW,BR,,,
7/10/2023 19:23:36,Caleb G - Whynaut#28590,Rafael F - Prudent#24319,2-1,,1,,WB,WB,,,
7/10/2023 19:52:32,Damian S - ButCrackMagic#71223,Caleb G - Whynaut#28590,2-0,,1,,WB,WU,,,
7/10/2023 20:59:45,John R - Ged#72302,Caleb K - BlackEcho#09078,2-1,,1,ggs!,RW,BR,,,
7/10/2023 21:04:17,Caleb G - Whynaut#28590,Maranda L - blackcanary#59791,2-1,,1,,UR,WU,,,
7/10/2023 21:08:07,Sean Sp - Talrand#06333,Mike P - unwieldybiscuit#26471,2-0,,1,,UB,RW,,,
7/10/2023 21:42:51,Sean Sp - Talrand#06333,Caleb G - Whynaut#28590,2-1,,1,,BR,UB,,,
7/10/2023 22:30:42,Dan A - BEATDOWNBRINGA#04779,Johnny M - Johnny#69519,2-0,,1,,RW,RG,,,
7/10/2023 22:38:20,Tony G - YnotRock#76764,Pierre-Marc D - pmduguay#67919,2-0,,1,,BG,UB,,,
7/11/2023 11:29:11,Pierre-Marc D - pmduguay#67919,Adam S - wizma#29010,2-0,,1,,BG,WU,,,
7/11/2023 12:21:40,Pierre-Marc D - pmduguay#67919,Eric S - Smitte#94855,2-0,,1,,WB,BR,,,
7/11/2023 14:00:19,Pierre-Marc D - pmduguay#67919,Chris P - Joker01#66827,2-1,,1,,BR,BG,,,
7/11/2023 16:08:01,Lotte P - Lotte #93345,John R - Ged#72302,2-1,,1,,RW,UB,,,
7/11/2023 18:04:10,Caleb G - Whynaut#28590,Caleb K - BlackEcho#09078,2-0,,1,,BR,UR,,,
7/11/2023 20:54:17,Caleb K - BlackEcho#09078,Trevor F - treskies#75643,2-0,,1,ggs,WB,WB,,,
7/11/2023 21:38:10,Mitchel S - SpaghettiMitch#18619,Chris R - Sinkwater#27508,2-0,,1,,UR,WB,,,
7/11/2023 21:56:59,Evan C - PeasOfCrab#00133,Michael M - Atombomb11991#07305,2-0,,1,,WB,WB,,,
7/11/2023 22:22:18,Chris R - Sinkwater#27508,Evan C - PeasOfCrab#00133,2-0,,1,,BR,RW,,,
7/11/2023 22:39:16,Michael B - Monkeymage#12141,Mitchel S - SpaghettiMitch#18619,2-0,,1,,WB,RG,,,
7/11/2023 23:02:47,Maranda L - blackcanary#59791,Wesley L - weslars#49889,2-1,,1,,BR,RW,,,
7/11/2023 23:19:35,Mike P - unwieldybiscuit#26471,Michael M - Atombomb11991#07305,2-1,,1,gg,BR,GW,,,
7/12/2023 0:03:23,Pedro D - Goombassa#17203,Michael M - Atombomb11991#07305,2-0,,1,GGs,RW,BR,,,
7/12/2023 0:21:41,Michael B - Monkeymage#12141,Michael M - Atombomb11991#07305,2-0,,1,,BR,UR,,,
7/12/2023 0:53:33,Pedro D - Goombassa#17203,Ryan D - TheSlickness#10857,2-1,,1,GGs really close! ,BR,UB,,,
7/12/2023 2:24:10,Michael M - Atombomb11991#07305,Emmett F - Sepulchure#51526,2-1,,1,,BG,UR,,,
7/12/2023 10:49:51,Pedro D - Goombassa#17203,Tony G - YnotRock#76764,2-1,,1,GGs,UR,BR,,,
7/12/2023 14:27:50,Jordan M - JMTron#46639,Pedro D - Goombassa#17203,2-0,,1,,UB,RG,,,
7/12/2023 15:05:26,Pedro D - Goombassa#17203,Wyatt C - hotdolphin#30769,2-1,,1,GGs ,UB,RW,,,
7/12/2023 15:12:57,Deven W - deven#51146,Jordan M - JMTron#46639,2-1,,1,,WB,UR,,,
7/12/2023 15:48:19,Jordan M - JMTron#46639,Reed P - bigfingsnake#86869,2-0,,1,,BR,BR,,,
7/12/2023 16:20:44,Yoshitake M - cradilygo#76222,Jaidin M - MnemonicDevice#38774,2-0,,1,,UR,UR,,,
7/12/2023 16:42:39,Reed P - bigfingsnake#86869,Yoshitake M - cradilygo#76222,2-0,,1,,BG,RW,,,
7/12/2023 17:34:56,Reed P - bigfingsnake#86869,Serge T - Sergyboy514#39979,2-1,,1,,UB,BG,,,
7/12/2023 18:13:49,Blake R - Trogdorr#20061,Chris R - Sinkwater#27508,2-0,,1,,UR,RW,,,
7/12/2023 19:09:25,Chris R - Sinkwater#27508,Mike P - unwieldybiscuit#26471,2-1,,1,,BG,UB,,,
7/12/2023 19:41:28,Jordan M - JMTron#46639,Blake R - Trogdorr#20061,2-0,,1,,RW,UB,,,
7/12/2023 22:35:36,Evan C - PeasOfCrab#00133,Jordan M - JMTron#46639,2-1,,1,,UB,BG,,,
7/12/2023 22:47:03,Tony G - YnotRock#76764,Zeke W - smarmyplatapus#30066,2-0,,1,,GW,GW,,,
7/12/2023 23:44:37,Tony G - YnotRock#76764,Yoshitake M - cradilygo#76222,2-0,,1,,WB,UB,,,
7/13/2023 0:01:03,Wei C - Azayaka#83352,Mitchel S - SpaghettiMitch#18619,2-1,,1,,BR,WU,,,
7/13/2023 0:34:38,Wei C - Azayaka#83352,Yoshitake M - cradilygo#76222,2-0,,1,,RW,BR,,,
7/13/2023 15:08:15,Doug Co - daceris#24713,Blake R - Trogdorr#20061,2-0,,1,,UB,WB,,,
7/13/2023 15:54:26,Chris P - Joker01#66827,Wyatt C - hotdolphin#30769,2-0,,1,,BR,GU,,,
7/13/2023 16:40:14,Doug Co - daceris#24713,Chris P - Joker01#66827,2-1,,1,ggs!,BG,RW,,,
7/13/2023 17:37:25,Matthew K - Tortag#62633,Chris R - Sinkwater#27508,2-1,,1,,BR,GW,,,
7/13/2023 20:56:54,Trevor F - treskies#75643,Matthew K - Tortag#62633,2-0,,1,,RW,WB,,,
7/13/2023 21:35:57,Caleb K - BlackEcho#09078,Matthew K - Tortag#62633,2-1,,1,ggs!,UB,UB,,,
7/13/2023 22:47:43,Evan C - PeasOfCrab#00133,Ryan D - TheSlickness#10857,2-1,,1,,UR,UR,,,
7/13/2023 23:12:02,Grey H - grensley#29260,Sean Sp - Talrand#06333,2-1,,1,,WB,WB,,,
7/13/2023 23:19:59,Dustin D - Bloone#16018,Trevor F - treskies#75643,2-1,,1,,GU,BR,,,
7/13/2023 23:45:13,Nicholas K - Bionick#55161,Sean Sp - Talrand#06333,2-1,,1,,RW,RW,,,
7/14/2023 0:06:59,Grey H - grensley#29260,Dustin D - Bloone#16018,2-1,,1,,BG,GW,,,
7/14/2023 0:21:35,Trevor F - treskies#75643,Nicholas K - Bionick#55161,2-0,,1,,UB,UB,,,
7/14/2023 0:45:03,Dustin D - Bloone#16018,Adam S - wizma#29010,2-0,,1,,UR,WB,,,
7/14/2023 11:56:14,Matthew K - Tortag#62633,Jeremy E - Lhurgoyf#37289,2-0,,1,,BG,UR,,,
7/14/2023 12:13:05,Wei C - Azayaka#83352,Doug Co - daceris#24713,2-1,,1,,GW,UR,,,
7/14/2023 14:58:11,Wei C - Azayaka#83352,Drake M - KoMODO#43282,2-0,,1,,RG,UB,,,
7/14/2023 15:47:55,Zeke W - smarmyplatapus#30066,Matthew K - Tortag#62633,2-0,,1,Ggs!,RW,RW,,,
7/14/2023 15:53:20,Drake M - KoMODO#43282,Trevor F - treskies#75643,2-1,,1,,BR,WU,,,
7/14/2023 16:10:11,Mitchel S - SpaghettiMitch#18619,Zeke W - smarmyplatapus#30066,2-1,,1,,BR,RG,,,
7/14/2023 16:25:59,Zeke W - smarmyplatapus#30066,Steve T - strout#45062,2-0,,1,,UR,UB,,,
7/14/2023 16:48:44,Wei C - Azayaka#83352,Zeke W - smarmyplatapus#30066,2-1,,1,,UR,BR,,,
7/14/2023 17:36:53,Caleb G - Whynaut#28590,Paul G - TheDragon#61289,2-1,,1,,,,,,
7/14/2023 18:02:49,Paul G - TheDragon#61289,Evan C - PeasOfCrab#00133,2-0,,1,,,,,,
7/14/2023 18:14:17,Deven W - deven#51146,Caleb G - Whynaut#28590,2-1,,1,,,,,,
7/14/2023 18:33:12,Evan C - PeasOfCrab#00133,Michael M - Atombomb11991#07305,2-1,,1,,,,,,
7/14/2023 18:43:18,Emmett F - Sepulchure#51526,Dan K - Fizishy#82483,2-1,,1,,,,,,
7/14/2023 19:22:16,Deven W - deven#51146,Philip B - Plipster#75000,2-0,,1,,,,,,
7/14/2023 19:27:31,Emmett F - Sepulchure#51526,Ryan D - TheSlickness#10857,2-0,,1,,,,,,
7/14/2023 20:19:17,Ryan D - TheSlickness#10857,Philip B - Plipster#75000,2-1,,1,,,,,,
7/14/2023 20:39:50,Pierre-Marc D - pmduguay#67919,Kevin I - kni1993#29285,2-1,,1,,,,,,
7/14/2023 20:42:42,Reed P - bigfingsnake#86869,Ryan D - TheSlickness#10857,2-0,,1,,,,,,
7/14/2023 21:19:28,Yoshitake M - cradilygo#76222,Philip B - Plipster#75000,2-0,,1,,,,,,
7/14/2023 22:11:05,Yoshitake M - cradilygo#76222,Kevin I - kni1993#29285,2-1,,1,,,,,,
7/14/2023 22:16:43,Steve T - strout#45062,Philip B - Plipster#75000,2-1,,1,GGs!,,,,,
7/14/2023 22:47:50,Steve T - strout#45062,Eric S - Smitte#94855,2-1,,1,GGs! Side Quest Match!,,,,,
7/14/2023 22:47:56,Michael B - Monkeymage#12141,Pierre-Marc D - pmduguay#67919,2-1,,1,,,,,,
7/14/2023 23:12:49,Jack H - Rakic#98298,Michael B - Monkeymage#12141,2-1,,1,,,,,,
7/14/2023 23:34:46,Yoshitake M - cradilygo#76222,Steve T - strout#45062,2-1,,1,,,,,,
7/14/2023 23:38:51,Philip B - Plipster#75000,Wesley L - weslars#49889,2-1,,1,,,,,,
7/14/2023 23:40:51,Pierre-Marc D - pmduguay#67919,Jack H - Rakic#98298,2-0,,1,,,,,,
7/15/2023 0:21:25,Michael B - Monkeymage#12141,Wesley L - weslars#49889,2-1,,1,,,,,,
7/15/2023 0:26:35,Jack H - Rakic#98298,Drake M - KoMODO#43282,2-1,,1,,,,,,
7/15/2023 0:44:56,Rafael F - Prudent#24319,Michael B - Monkeymage#12141,2-1,,1,,,,,,
7/15/2023 1:07:38,Drake M - KoMODO#43282,Chris Y - Yorke on Games#66909,2-0,,1,,,,,,
