Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,,Punishment Pack choice?
1/7/2023 14:58:49,Côme S - C_SM#79564,Christopher S - Stemz#96067,2-1,,1,good game,,
1/7/2023 15:50:52,Chris R - Sinkwater#27508,Lotte P - Lotte #93345,2-0,,1,,,
1/7/2023 17:20:02,Hugo D - HDila#61011,Jonathan R - Jraps#79124,2-0,,1,thanks for the games ,,
1/7/2023 17:52:26,Serge T - Sergyboy514#39979,Rafael F - Prudent#24319,2-0,,1,,,
1/7/2023 18:00:10,John P - gokuorgohome#51511,Jonathan R - Jraps#79124,2-1,,1,,,
1/7/2023 18:10:59,Jeremy E - Lhurgoyf#37289,Dan K - Fizishy#82483,2-1,,1,ggs!,,
1/7/2023 18:14:21,Warren M - LinkThePlaneswalker33#61905,Lee B - MagicMorningBrew#76946,2-1,,1,The game was played on 1/6 at around 6:00 pm. ,,
1/7/2023 19:20:25,Jeremy E - Lhurgoyf#37289,Brendan Y - Earthmover#56028,2-0,,1,,,
1/7/2023 19:59:49,Nik S - njsiii#50504,Maranda L - BlackCanary#59791,2-0,,1,,,
1/7/2023 20:44:16,Shawn R - chuckygr#53420,Pierre-Antoine B - PymBragon#97733,2-1,,1,,,
1/7/2023 21:08:50,Chris R - Sinkwater#27508,Maranda L - BlackCanary#59791,2-0,,1,,,
1/7/2023 21:40:02,Ryland B - Sabre#8973,Dan K - Fizishy#82483,2-0,,1,,,
1/7/2023 21:45:17,Ryan D - TheSlickness#10857,Pierre-Antoine B - PymBragon#97733,2-0,,1,,,
1/7/2023 22:15:59,Jordan M - JMTron#46639,Ryan D - TheSlickness#10857,2-0,,1,,,
1/8/2023 0:05:25,Côme S - C_SM#79564,Justin P - Code Pigeon#84057,2-0,,1,good game,,
1/8/2023 0:53:07,Chris Y - Yorke on Games#66909,Lee B - MagicMorningBrew#76946,2-0,,1,Protection... in the Ice!,,
1/8/2023 1:29:23,Chris Y - Yorke on Games#66909,Stephan J - Saeijou#27763,2-0,,1,Not the birds!!,,
1/8/2023 2:24:40,Jordan M - JMTron#46639,Warren M - LinkThePlaneswalker33#61905,2-1,,1,,,
1/8/2023 5:47:23,Jonathan R - Jraps#79124,Paul G - TheDragon#61289,2-1,,1,,,
1/8/2023 9:36:43,Noel S - Stopgap#13873,John R - Ged#72302,2-1,,1,,,
1/8/2023 11:13:39,Oskar T - ossytubbi#87966,Dan K - Fizishy#82483,2-1,,1,,,
1/8/2023 11:15:57,John R - Ged#72302,Zach C - ZachCarr#31881,2-1,,1,ggs,,
1/8/2023 11:31:45,Pierre-Antoine B - PymBragon#97733,Oskar T - ossytubbi#87966,2-0,,1,,,
1/8/2023 12:11:10,Zach C - ZachCarr#31881,Pierre-Antoine B - PymBragon#97733,2-0,,1,,,
1/8/2023 12:27:49,Nicholas K - Bionick#55161,Mike P - UnwieldyBiscuit#26471,2-0,,1,,,
1/8/2023 12:33:07,Nik S - njsiii#50504,Zach C - ZachCarr#31881,2-0,,1,,,
1/8/2023 12:46:33,Jake C - the_man_mulcahey#74753,Michael M - Atombomb11991#07305,2-0,,1,,,
1/8/2023 12:49:11,Pierre-Antoine B - PymBragon#97733,James MI - ImJolt#28410,2-0,,1,,,
1/8/2023 13:10:06,Nik S - njsiii#50504,Mike P - UnwieldyBiscuit#26471,2-0,,1,,,
1/8/2023 13:18:56,James MI - ImJolt#28410,Michael M - Atombomb11991#07305,2-1,,1,,,
1/8/2023 13:19:06,John P - gokuorgohome#51511,Jake C - the_man_mulcahey#74753,2-1,,1,,,
1/8/2023 14:06:09,Brendan Y - Earthmover#56028,Nicholas P - Ami3vil?#84889,2-0,,1,,,
1/8/2023 14:34:00,Johnny M - Johnny#69519,Duran V - SuperD#94636,2-0,,1,,,
1/8/2023 14:34:06,Zach C - ZachCarr#31881,Oskar T - ossytubbi#87966,2-1,,1,,,
1/8/2023 14:47:58,Brendan Y - Earthmover#56028,James MI - ImJolt#28410,2-1,,1,,,
1/8/2023 14:48:26,Noah B - Sisco#71800,Nicholas P - Ami3vil?#84889,2-0,,1,,,
1/8/2023 15:10:13,Noah B - Sisco#71800,John P - gokuorgohome#51511,2-0,,1,,,
1/8/2023 15:47:16,Zach C - ZachCarr#31881,Jonathan R - Jraps#79124,2-0,,1,,,
1/8/2023 15:59:39,John P - gokuorgohome#51511,Amir A - HowDoesOneChoose#47480,2-0,,1,,,
1/8/2023 16:38:06,Jeremy E - Lhurgoyf#37289,Nicholas K - Bionick#55161,2-1,,1,,,
1/8/2023 16:38:55,Amir A - HowDoesOneChoose#47480,Lee B - MagicMorningBrew#76946,2-0,,1,,,
1/8/2023 16:57:39,Jordan M - JMTron#46639,Lee B - MagicMorningBrew#76946,2-0,,1,,,
1/8/2023 17:00:59,Paul G - TheDragon#61289,Nicholas K - Bionick#55161,2-0,,1,,,
1/8/2023 17:39:18,Jordan M - JMTron#46639,Gerardo L - SeductiveTurtle#91515,2-0,,1,,,
1/8/2023 18:27:26,Gerardo L - SeductiveTurtle#91515,Cody-Rayce MG - Rayce#56572,2-0,,1,:),,
1/8/2023 19:47:21,Adam S - wizma#29010,Mike P - UnwieldyBiscuit#26471,2-0,,1,Ggs,,
1/8/2023 20:24:49,James T - RevisedIsland#19780,Jordan M - JMTron#46639,2-0,,1,GGs,,
1/8/2023 20:43:09,Adam S - wizma#29010,Mike B - Xenomorph#62228,2-1,,1,This is the correct one! ,,
1/8/2023 21:03:12,Jonathan R - Jraps#79124,James T - RevisedIsland#19780,2-1,,1,,,
1/8/2023 21:49:10,Gerardo L - SeductiveTurtle#91515,Noel S - Stopgap#13873,2-0,,1,:),,
1/8/2023 21:50:52,Hugo D - HDila#61011,James T - RevisedIsland#19780,2-0,,1,thanks for the match,,
1/8/2023 21:53:23,Adam S - wizma#29010,Chris R - Sinkwater#27508,2-1,,1,Stealin and tappin,,
1/8/2023 22:55:48,Justin P - Code Pigeon#84057,Caleb G - Whynaut#28590,2-0,,1,,,
1/8/2023 23:05:14,Tony G - YnotRock#76764,Christopher S - Stemz#96067,2-0,,1,,,
1/8/2023 23:21:27,Tony G - YnotRock#76764,Justin P - Code Pigeon#84057,2-0,,1,,,
1/9/2023 12:11:32,Ryland B - Sabre#8973,John R - Ged#72302,2-1,,1,,,
1/9/2023 12:46:50,John R - Ged#72302,Chris Y - Yorke on Games#66909,2-1,,1,ggs. Mana screw stinks.,,
1/9/2023 13:46:58,Chris P - Joker01#66827,Zeke W - smarmyplatapus#30066,2-1,,1,,,
1/9/2023 14:15:52,Caleb G - Whynaut#28590,Chris P - Joker01#66827,2-1,,1,,,
1/9/2023 14:56:04,Oskar T - ossytubbi#87966,Richard K - preacher26#59445,2-0,,1,,,
1/9/2023 15:25:52,Chris P - Joker01#66827,Ryland B - Sabre#8973,2-1,,1,,,
1/9/2023 15:36:18,Caleb G - Whynaut#28590,Zeke W - smarmyplatapus#30066,2-1,,1,,,
1/9/2023 16:25:04,Maranda L - BlackCanary#59791,Ryland B - Sabre#8973,2-1,,1,,,
1/9/2023 16:33:16,Jake C - the_man_mulcahey#74753,Chris P - Joker01#66827,2-0,,1,,,
1/9/2023 17:40:21,Chris Y - Yorke on Games#66909,Richard K - preacher26#59445,2-0,,1,Pro Green,,
1/9/2023 19:11:16,Côme S - C_SM#79564,Oskar T - ossytubbi#87966,2-1,,1,good game,,
1/9/2023 19:33:34,Caleb G - Whynaut#28590,Adam S - wizma#29010,2-1,,1,,,
1/9/2023 21:08:10,Cody-Rayce MG - Rayce#56572,Chris Y - Yorke on Games#66909,2-1,,1,gg wp,,
1/9/2023 21:08:40,Gerardo L - SeductiveTurtle#91515,Tony G - YnotRock#76764,2-0,,1,:),,
1/9/2023 21:47:01,James T - RevisedIsland#19780,Justin P - Code Pigeon#84057,2-0,,1,GGs,,
1/9/2023 21:47:26,Nicholas P - Ami3vil?#84889,Gerardo L - SeductiveTurtle#91515,2-0,,1,GGs!,,
