Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Punishment Pack choice?
6/5/2023 1:20:02,Jake C - the_man_mulcahey#74753,Steve T - strout#45062,2-1,,1,,,,
6/5/2023 9:11:34,Colton S - coltoncooper#56958,Kevin I - kni1993#29285,2-1,,1,,,,
6/5/2023 12:29:30,Chris P - Joker01#66827,Pedro D - Goombassa#17203,2-0,,1,,,,
6/5/2023 13:51:50,Jeremy E - Lhurgoyf#37289,Pedro D - Goombassa#17203,2-0,,1,,,,
6/5/2023 15:41:59,Richard K - preacher26#59445,Kevin I - kni1993#29285,2-1,,1,,,,
6/5/2023 18:26:01,Eric S - Smitte#94855,Chris P - Joker01#66827,2-1,,1,,,,
6/5/2023 19:01:18,Maxime R - Tasigurr#89921,Rafael F - Prudent#24319,2-0,,1,,,,
6/5/2023 19:01:58,Sasson B - pcd2108#62046,Chris R - Sinkwater#27508,2-1,,1,gg wp,,,
6/5/2023 19:16:18,Cody D - Ellimist#31769,Bob P - Hit#08120,2-1,,1,,,,
6/5/2023 19:48:31,Maxime R - Tasigurr#89921,Trevor F - treskies#75643,2-0,,1,,,,
6/5/2023 19:49:00,Bob P - Hit#08120,Kevin I - kni1993#29285,2-1,,1,,,,
6/5/2023 20:54:46,Blake R - Trogdorr#20061,Maxime R - Tasigurr#89921,2-1,,1,,,,
6/5/2023 21:08:14,Michael M - Atombomb11991#07305,Kevin I - kni1993#29285,2-1,,1,,,,
6/5/2023 21:44:10,Sasson B - pcd2108#62046,Michael M - Atombomb11991#07305,2-1,,1,gg,,,
6/5/2023 22:18:00,Nik S - njsiii#50504,Lee B - MagicMorningBrew#76946,2-0,,1,,,,
6/6/2023 0:49:41,Jordan M - JMTron#46639,Daniel G - FriskyHobbit#43185,2-0,,1,,,,
6/6/2023 1:45:33,Deven W - Deven#51146,Jordan M - JMTron#46639,2-1,,1,,,,
6/6/2023 12:57:06,Cody-Rayce MG - Rayce#56572,Adam S - wizma#29010,2-1,,1,ggs wp,,,
6/6/2023 14:09:54,Adam S - wizma#29010,Chris P - Joker01#66827,2-0,,1,Good games! ,,,
6/6/2023 15:06:44,Bob P - Hit#08120,Justin P - Code Pigeon#84057,2-0,,1,,,,
6/6/2023 16:32:33,Adam S - wizma#29010,Cody D - Ellimist#31769,2-0,,1,Good games! Welcome to the League!,,,
6/6/2023 17:15:50,Tony G - YnotRock#76764,Chris Y - Yorke on Games#66909,2-1,,1,,,,
6/6/2023 17:28:17,Mitchel S - SpaghettiMitch#18619,Sawyer T - soyboy#35469,2-1,,1,,,,
6/6/2023 17:47:22,Reed P - bigfingsnake#86869,Lee B - MagicMorningBrew#76946,2-1,,1,,,,
6/6/2023 18:00:14,Tony G - YnotRock#76764,Adam S - wizma#29010,2-1,,1,,,,
6/6/2023 18:12:19,Mitchel S - SpaghettiMitch#18619,Caleb G - Whynaut#28590,2-0,,1,,,,
6/6/2023 18:35:50,Sawyer T - soyboy#35469,Lee B - MagicMorningBrew#76946,2-1,,1,,,,
6/6/2023 19:23:26,Shane S - Master Shane#35185,Bob P - Hit#08120,2-0,,1,,,,
6/6/2023 19:37:05,Emmett F - Sepulchure#51526,Joaquin E - DiabolicMachine#23891,2-0,,1,,,,
6/6/2023 19:58:12,Shane S - Master Shane#35185,Damian S - ButCrackMagic#71223,2-0,,1,,,,
6/6/2023 20:30:20,Joaquin E - DiabolicMachine#23891,Maranda L - blackcanary#59791,2-0,,1,,,,
6/6/2023 21:22:52,Damian S - ButCrackMagic#71223,Blake R - Trogdorr#20061,2-1,,1,,,,
6/6/2023 21:29:58,Shane S - Master Shane#35185,Emmett F - Sepulchure#51526,2-0,,1,,,,
6/6/2023 21:30:29,Daniel G - FriskyHobbit#43185,Darwin K - darwhims#52188,2-0,,1,,,,
6/6/2023 22:57:36,Dan A - BEATDOWNBRINGA#04779,Rafael F - Prudent#24319,2-0,,1,,,,
6/7/2023 1:04:35,Deven W - Deven#51146,Emmett F - Sepulchure#51526,2-1,,1,,,,
6/7/2023 14:55:54,Eric S - Smitte#94855,Nik S - njsiii#50504,2-0,,1,,,,
6/7/2023 15:31:00,Paul G - TheDragon#61289,Richard K - preacher26#59445,2-1,,1,,,,
6/7/2023 15:51:31,Eric S - Smitte#94855,Cody D - Ellimist#31769,2-0,,1,,,,
6/7/2023 15:57:04,Richard K - preacher26#59445,Wyatt C - hotdolphin#30769,2-0,,1,,,,
6/7/2023 16:52:33,Richard K - preacher26#59445,Eric S - Smitte#94855,2-1,,1,,,,
6/7/2023 17:21:21,Wyatt C - hotdolphin#30769,Michael M - Atombomb11991#07305,2-1,,1,,,,
6/7/2023 18:05:40,Caleb G - Whynaut#28590,Drake M - KoMODO#43282,2-1,,1,,,,
6/7/2023 19:16:42,Joaquin E - DiabolicMachine#23891,Chris Y - Yorke on Games#66909,2-1,,1,,,,
6/7/2023 19:43:11,Drake M - KoMODO#43282,Darwin K - darwhims#52188,2-1,,1,,,,
6/7/2023 20:38:47,James S - TortillaThePun#11942,Shane S - Master Shane#35185,2-1,,1,,,,
6/7/2023 21:39:30,James S - TortillaThePun#11942,Trevor F - treskies#75643,2-1,,1,,,,
6/7/2023 22:28:34,Maxime R - Tasigurr#89921,Dustin D - Bloone#16018,2-0,,1,,,,
6/7/2023 23:27:25,Maranda L - blackcanary#59791,Dustin D - Bloone#16018,2-0,,1,,,,
6/8/2023 0:26:04,Dan A - BEATDOWNBRINGA#04779,Damian S - ButCrackMagic#71223,2-1,,1,,,,
