Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,,Punishment Pack choice?
4/2/2023 19:08:04,Maxime R - Tasigurr#89921,Ron C - Lennor#52740,2-1,,1,,,
4/2/2023 19:27:49,Sawyer T - soyboy#35469,Justin P - Code Pigeon#84057,2-1,,1,,,
4/2/2023 21:05:15,Dan A - BEATDOWNBRINGA#04779,Michael M - Atombomb11991#07305,2-0,,1,,,
4/2/2023 21:23:35,Maxime R - Tasigurr#89921,Cody-Rayce MG - rayce#56572,2-1,,1,,,
4/2/2023 21:33:57,Daniel G - FriskyHobbit#43185,Noah B - Sisco#71800,2-1,,1,,,
4/2/2023 21:40:38,Johnny M - Johnny#69519,Dan A - BEATDOWNBRINGA#04779,2-0,,1,,,
4/2/2023 21:56:55,Michael M - Atombomb11991#07305,Cody-Rayce MG - rayce#56572,2-1,,1,,,
4/2/2023 23:14:22,Evan C - PeasOfCrab#00133,Curtis K - Oblivion#40925,2-0,,1,,,
4/2/2023 23:52:55,Dan A - BEATDOWNBRINGA#04779,Curtis K - Oblivion#40925,2-0,,1,,,
4/3/2023 0:01:45,Sylvain T - Iquitos#15484,Eric S - Smitte#94855,2-1,,1,,,
4/3/2023 0:17:46,Johnny M - Johnny#69519,Curtis K - Oblivion#40925,2-0,,1,,,
4/3/2023 0:39:59,Johnny M - Johnny#69519,Sylvain T - Iquitos#15484,2-0,,1,,,
4/3/2023 10:12:49,Johnny M - Johnny#69519,Josh G - MrDoops#24495,2-0,,1,,,
4/3/2023 12:02:49,Dan A - BEATDOWNBRINGA#04779,Sylvain T - Iquitos#15484,2-0,,1,,,
4/3/2023 12:26:05,Caleb G - Whynaut#28590,Dan A - BEATDOWNBRINGA#04779,2-0,,1,,,
4/3/2023 13:28:03,Cody-Rayce MG - rayce#56572,Caleb G - Whynaut#28590,2-1,,1,ggs wp white cards lingering souls ,,
4/3/2023 13:49:57,Eric S - Smitte#94855,Josh G - MrDoops#24495,2-0,,1,,,
4/3/2023 14:41:41,Evan C - PeasOfCrab#00133,Troy R - Pengwin#05127,2-1,,1,,,
4/3/2023 14:45:34,Steve T - strout#45062,John P - gokuorgohome#51511,2-1,,1,long games!,,
4/3/2023 15:00:51,Evan C - PeasOfCrab#00133,Adam S - wizma#29010,2-0,,1,,,
4/3/2023 15:30:38,Eric S - Smitte#94855,Steve T - strout#45062,2-0,,1,,,
4/3/2023 15:40:30,John P - gokuorgohome#51511,Troy R - Pengwin#05127,2-1,,1,,,
4/3/2023 16:13:54,Shane K - malfunktion#31013,Troy R - Pengwin#05127,2-1,,1,,,
4/3/2023 16:17:47,Curtis K - Oblivion#40925,Serge T - Sergyboy514#39979,2-0,,1,,,
4/3/2023 17:19:22,Troy R - Pengwin#05127,John R - Ged#72302,2-0,,1,,,
4/3/2023 17:33:46,Shuo L - Tamamo#30654,Evan C - PeasOfCrab#00133,2-0,,1,,,
