Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Punishment Pack choice?
4/22/2023 0:55:40,Dan A - BEATDOWNBRINGA#04779,Sylvain T - Iquitos#15484,2-1,,1,,IKO,,
4/22/2023 1:07:43,Rafael F - Prudent#24319,Wesley K - weslars#49889,2-1,,1,,MOM,,
4/22/2023 1:09:45,Deseo C - StandoPow3r#13414,Sawyer T - soyboy#35469,2-0,,1,,MOM,,
4/22/2023 1:43:08,Mitchel S - SpaghettiMitch#18619,Deseo C - StandoPow3r#13414,2-0,,1,,ONE,,
4/22/2023 2:10:29,Damian S - ButCrackMagic#71223,Wei C - Azayaka#83352,2-0,,1,,DMU,,
4/22/2023 3:11:06,Wei C - Azayaka#83352,Aaron H - UlamogOurSaviour#56444,2-1,,1,,MOM,,
4/22/2023 9:28:36,Caleb G - Whynaut#28590,Curtis K - Oblivion#40925,2-1,,1,,STX,,
4/22/2023 9:46:32,Aaron H - UlamogOurSaviour#56444,Ryland B - Sabre#12079,2-1,,1,,WAR,,
4/22/2023 10:01:25,Caleb G - Whynaut#28590,Kevin I - kni1993#29285,2-1,,1,,DMU,,
4/22/2023 10:31:28,Dan A - BEATDOWNBRINGA#04779,Ryland B - Sabre#12079,2-1,,1,,STX,,
4/22/2023 10:38:38,Aaron H - UlamogOurSaviour#56444,Drake M - KoMODO#43282,2-1,,1,,MOM,,
4/22/2023 10:48:24,Dan A - BEATDOWNBRINGA#04779,Mike P - UnwieldyBiscuit#26471,2-0,,1,,WAR,,
4/22/2023 10:49:18,Curtis K - Oblivion#40925,Kevin I - kni1993#29285,2-1,,1,,VOW,,
4/22/2023 11:18:34,Drake M - KoMODO#43282,Mike P - UnwieldyBiscuit#26471,2-0,,1,,MOM,,
4/22/2023 11:21:55,Lotte P - Lotte #93345,Brendan Y - Earthmover#56028,2-0,,1,,WAR,,
4/22/2023 12:08:38,Zeke W - smarmyplatapus#30066,Brendan Y - Earthmover#56028,2-0,,1,,WAR,,
4/22/2023 12:30:47,Drake M - KoMODO#43282,Lotte P - Lotte #93345,2-0,,1,,MOM,,
4/22/2023 13:30:51,Adam S - wizma#29010,Pedro D - Goombassa#17203,2-1,,1,Welcome to the League!! Good games,MOM,,
4/22/2023 13:56:37,Jacob V - Drysle#29533,Daniel G - FriskyHobbit#43185,2-1,,1,,MOM,,
4/22/2023 14:04:15,Drake M - KoMODO#43282,Damian S - ButCrackMagic#71223,2-0,,1,,IKO,,
4/22/2023 14:07:59,Brendan Y - Earthmover#56028,Pedro D - Goombassa#17203,2-0,,1,,MOM,,
