Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
10/21/2023 14:25:27,Jacob V - Drysle#29533,Jondrion J - jondrion#40531,2-0,,1,,,,,,,,
10/21/2023 15:06:17,Jondrion J - jondrion#40531,Christopher G - oompaloompa#65002,2-1,,1,,,,,,,,
10/21/2023 15:34:38,Christopher G - oompaloompa#65002,Jaidin M - MnemonicDevice#38774,2-0,,1,,,,,,,,
10/21/2023 15:55:25,Jondrion J - jondrion#40531,James S - Zoid#33631,2-1,,1,,,,,,,,
10/21/2023 16:27:47,Adam S - wizma#29010,Lotte P - Lotte #93345,2-0,,1,Good luck this league!,,,,,,,
10/21/2023 17:09:45,Evan C - PeasOfCrab#00133,Jeremy E - Lhurgoyf#37289,2-1,,1,,,,,,,,
10/21/2023 17:38:23,Lotte P - Lotte #93345,Krzys H - FaceBeardMcBeard#24731,2-1,,1,,,,,,,,
10/21/2023 17:58:11,Jack H - Rakic#98298,Krzys H - FaceBeardMcBeard#24731,2-0,,1,,,,,,,,
10/21/2023 18:22:49,Wei C - Azayaka#83352,Evan C - PeasOfCrab#00133,2-1,,1,,,,,,,,
10/21/2023 19:47:04,Kevin I - kni1993#29285,Wei C - Azayaka#83352,2-0,,1,,,,,,,,
10/21/2023 21:19:36,Bob P - HIT#08120,Christopher G - oompaloompa#65002,2-0,,1,,,,,,,,
10/21/2023 21:54:28,Zach C - ZachCarr#31881,Jack H - Rakic#98298,2-0,,1,,,,,,,,
10/21/2023 23:31:56,Jack H - Rakic#98298,Chris Y - Yorke on Games#66909,2-1,,1,,,,,,,,
10/21/2023 23:40:45,Chris P - Joker01#66827,Bob P - HIT#08120,2-0,,1,,,,,,,,
10/22/2023 0:13:58,Evan C - PeasOfCrab#00133,Chris Y - Yorke on Games#66909,2-0,,1,,,,,,,,
10/22/2023 0:34:16,Jack H - Rakic#98298,Evan C - PeasOfCrab#00133,2-1,,1,,,,,,,,
10/22/2023 9:22:38,Eric S - Smitte#94855,Richard K - preacher26#59445,2-0,,1,,,,,,,,
10/22/2023 11:57:00,Richard K - preacher26#59445,Nik S - njsiii#50504,2-1,,1,,,,,,,,
10/22/2023 14:26:34,Chris Y - Yorke on Games#66909,David Z - zyqxD#77167,2-0,,1,Good games!,,,,,,,
10/22/2023 14:36:27,James S - Zoid#33631,Zeke W - smarmyplatapus#30066,2-0,,1,,,,,,,,
10/22/2023 14:38:57,Lotte P - Lotte #93345,Zach C - ZachCarr#31881,2-0,,1,,,,,,,,
10/22/2023 15:14:39,Richard K - preacher26#59445,Lotte P - Lotte #93345,2-1,,1,,,,,,,,
10/22/2023 15:19:14,Johnny M - Johnny#69519,Zach C - ZachCarr#31881,2-0,,1,,,,,,,,
10/22/2023 15:32:42,David Z - zyqxD#77167,Adam S - wizma#29010,2-0,,1,GGs,,,,,,,
10/22/2023 15:41:28,Lotte P - Lotte #93345,Shuo L - Tamamo#30654,2-0,,1,,,,,,,,
10/22/2023 16:10:50,Johnny M - Johnny#69519,Colton S - Coltoncooper#56958,2-1,,1,,,,,,,,
10/22/2023 16:48:35,Colton S - Coltoncooper#56958,Michael C - Kentari#73068,2-1,,1,,,,,,,,
10/22/2023 17:13:32,James S - Zoid#33631,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,,,,,,
10/22/2023 17:23:02,Colton S - Coltoncooper#56958,Thijn H - Thi-Jin#83537,2-1,,1,,,,,,,,
10/22/2023 17:29:12,Steve T - strout#45062,David Z - zyqxD#77167,2-0,,1,GGs!,,,,,,,
10/22/2023 17:33:30,Zeke W - smarmyplatapus#30066,Dave D - SizzleDizzle#55788,2-0,,1,ggs!,,,,,,,
10/22/2023 17:47:52,David Z - zyqxD#77167,Zeke W - smarmyplatapus#30066,2-0,,1,GGs,,,,,,,
