Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Messaged?,Was this match a Duel?
4/27/2024 0:15:31,MItchel S - SpaghettiMitch#18619,Sylvain T - Iquitos#15484,2-0,,1,10hp goes fast!,1,Yes
4/27/2024 0:30:41,Bryan G - Fedaykin98#12204,Evan L - Evan#97713,2-0,,1,"Evan is a cool, cool rider!",1,No
4/27/2024 0:32:04,James M - Sol_Ring#09384,Jeremy E - Lhurgoyf#37289,2-0,,1,,1,No
4/27/2024 0:34:08,MItchel S - SpaghettiMitch#18619,Daniel S - Obitus#54120,2-0,,1,,1,No
4/27/2024 0:39:03,Chris O - Chriso91#46230,Sawyer T - soyboy#35469,2-1,,1,,1,No
4/27/2024 0:51:48,Jack H - Rakic#98298,MItchel S - SpaghettiMitch#18619,2-0,,1,,1,Yes
4/27/2024 1:20:40,Bryan G - Fedaykin98#12204,James M - Sol_Ring#09384,2-1,,1,Crazy close matches with a crazy cool dude!,1,No
4/27/2024 1:21:37,Chris O - Chriso91#46230,Jack H - Rakic#98298,2-0,,1,,1,Yes
4/27/2024 1:29:10,Jeremy E - Lhurgoyf#37289,Evan L - Evan#97713,2-0,,1,,1,No
4/27/2024 1:51:45,Will M - Hakei#28570,Jack H - Rakic#98298,2-0,,1,,1,No
4/27/2024 2:18:59,Will M - Hakei#28570,Matt K - KirbyKong#37457,2-0,,1,,1,No
4/27/2024 4:24:55,Will M - Hakei#28570,Matthias H - Rezreh#11308,2-1,,1,Opponent said my sheet pool was incorrect,1,No
4/27/2024 5:30:21,Matthias H - Rezreh#11308,Dave T - RestiveNebula#74573,2-0,,1,,1,No
4/27/2024 5:56:01,Paul G - TheDragon#61289,Matthias H - Rezreh#11308,2-0,,1,,1,No
4/27/2024 6:49:42,Wesley C - GigaVoltaic#11782,Dave T - RestiveNebula#74573,2-0,,1,,1,No
4/27/2024 7:21:01,Wesley C - GigaVoltaic#11782,Will M - Hakei#28570,2-0,,1,,1,No
4/27/2024 8:11:49,Will M - Hakei#28570,Alexandre GA - AGA#86404,2-0,,1,,1,No
4/27/2024 8:55:48,Nick A - Nistar#14127,Kevin I - kni1993#29285,2-1,,1,,1,No
4/27/2024 9:46:29,Dirk E - BegginBlue#16667,Rafael F - Prudent#24319,2-1,,1,,1,No
4/27/2024 10:08:15,Wesley C - GigaVoltaic#11782,Thomas C - jamberine#68248,2-1,,1,GGs!,1,No
4/27/2024 10:34:18,Luke G - Juno#19210,Nik S - njsiii#50504,2-0,,1,,1,No
4/27/2024 10:54:19,Alexandre GA - AGA#86404,Zeke W - smarmyplatapus#30066,2-1,,1,"Win with top deck 16/16 vigilance, haste, trample ",1,No
4/27/2024 10:55:46,Thomas C - jamberine#68248,Niko G - Thundertnuc#90488,2-0,,1,,1,No
4/27/2024 10:56:08,Nick A - Nistar#14127,James M - Sol_Ring#09384,2-1,,1,,1,No
4/27/2024 11:17:21,Nick A - Nistar#14127,Nik S - njsiii#50504,2-0,,1,,1,No
4/27/2024 11:34:52,Kevin I - kni1993#29285,Chris R - Sinkwater#27508,2-1,,1,,1,No
4/27/2024 11:56:45,Thomas C - jamberine#68248,Nik S - njsiii#50504,2-1,,1,,1,No
4/27/2024 12:33:57,Richard K - preacher26#59445,Nik S - njsiii#50504,2-1,,1,,1,No
4/27/2024 12:52:21,Joseph H - Sexcellence#51112,Nik S - njsiii#50504,2-0,,1,,1,No
4/27/2024 13:14:10,Caleb G - Whynaut#28590,Joseph H - Sexcellence#51112,2-0,,1,,1,No
4/27/2024 14:02:29,Jordan M - JMTron#46639,Caleb G - Whynaut#28590,2-1,,1,,1,No
4/27/2024 14:31:24,Wesley C - GigaVoltaic#11782,Mathieu L - Wayl0n#81231,2-1,,1,,1,No
4/27/2024 14:49:13,Julian K - Citizen_Snippies#31245,Juan Q - JuanCu#95616,2-0,,1,,1,No
4/27/2024 15:18:37,Caleb G - Whynaut#28590,Juan Q - JuanCu#95616,2-1,,1,,1,Yes
4/27/2024 15:43:57,Jordan M - JMTron#46639,Cody-Rayce MG - Rayce#56572,2-1,,1,,1,No
