Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
9/9/2023 15:13:18,Adam S - wizma#29010,Jon M - It'sMagic#46950,2-0,,1,Welcome to the league!,WOE,,,,,,
9/9/2023 15:15:57,Wyatt C - hotdolphin#30769,Cayden T - DontMessWithMyCards#65625,2-0,,1,,WOE,,,,,,
9/9/2023 15:42:58,Rafael F - Prudent#24319,Daniel G - FriskyHobbit#43185,2-0,,1,,WOE,,,,,,
9/9/2023 15:48:24,Cayden T - DontMessWithMyCards#65625,Paul G - TheDragon#61289,2-0,,1,,MOM,,,,,,
9/9/2023 15:54:04,Wyatt C - hotdolphin#30769,James S - Zoid#33631,2-0,,1,,MOM,,,,,,
9/9/2023 16:23:35,Noah B - Sisco#71800,Ron C - Lennor#52740,2-0,,1,,WOE,,,,,,
9/9/2023 16:24:11,Paul G - TheDragon#61289,Daniel G - FriskyHobbit#43185,2-0,,1,,WOE,,,,,,
9/9/2023 16:58:45,Pierre-Marc D - pmduguay#67919,Evan C - PeasOfCrab#00133,2-1,,1,,MOM,,,,,,
9/9/2023 17:04:13,Daniel G - FriskyHobbit#43185,Cayden T - DontMessWithMyCards#65625,2-1,,1,,WOE,,,,,,
9/9/2023 17:12:10,Sawyer T - soyboy#35469,Noah B - Sisco#71800,2-1,,1,,WOE,,,,,,
9/9/2023 17:29:16,Daniel G - FriskyHobbit#43185,Shuo L - tamamo#30654,2-1,,1,,ELD,,,,,,
9/9/2023 17:37:32,James S - Zoid#33631,Cayden T - DontMessWithMyCards#65625,2-0,,1,,WOE,,,,,,
9/9/2023 18:15:45,Reed P - bigfingsnake#86869,Adam S - wizma#29010,2-1,,1,,MOM,,,,,,
9/9/2023 20:23:29,Nik S - njsiii#50504,Joe T - elasticity#07466,2-0,,1,,WOE,,,,,,
9/9/2023 21:22:32,Kevin I - kni1993#29285,Pierre-Marc D - pmduguay#67919,2-1,,1,,WOE,,,,,,
9/9/2023 21:36:27,Noah B - Sisco#71800,Caleb K - BlackEcho#09078,2-0,,1,,WOE,,,,,,
9/9/2023 21:44:34,Zeke W - smarmyplatapus#30066,Joe T - elasticity#07466,2-0,,1,ggs!,WOE,,,,,,
9/9/2023 21:59:31,Pierre-Marc D - pmduguay#67919,Zach C - ZachCarr#31881,2-1,,1,,WOE,,,,,,
9/9/2023 22:29:47,Joe T - elasticity#07466,Adam S - wizma#29010,2-0,,1,,MOM,,,,,,
9/9/2023 22:50:39,Zach C - ZachCarr#31881,Cody-Rayce MG - Rayce#56572,2-0,,1,,MOM,,,,,,
9/9/2023 22:59:46,Joe T - elasticity#07466,Kyle C - AFKyle#29319,2-1,,1,,WOE,,,,,,
9/9/2023 23:35:16,Reed P - bigfingsnake#86869,Joe T - elasticity#07466,2-1,,1,,WOE,,,,,,
9/9/2023 23:45:06,Pedro D - Goombassa#17203,Jeremy E - Lhurgoyf#37289,2-1,,1,GGs,WOE,,,,,,
9/10/2023 0:03:54,Bob P - HIT#08120,Evan C - PeasOfCrab#00133,2-0,,1,,MOM,,,,,,
9/10/2023 1:26:31,Nicholas K - Bionick#55161,Joaquin E - DiabolicMachine#23891,2-0,,1,Drought :(,MOM,,,,,,
9/10/2023 2:52:24,Evan C - PeasOfCrab#00133,Nick L - NextLevelNick#79827,2-1,,1,,WOE,,,,,,
9/10/2023 3:15:09,Evan C - PeasOfCrab#00133,Ben G - perrako#88435,2-0,,1,,WOE,,,,,,
9/10/2023 9:00:23,Nik S - njsiii#50504,Zach C - ZachCarr#31881,2-0,,1,,WOE,,,,,,
9/10/2023 9:10:13,Cody-Rayce MG - Rayce#56572,John R - Ged#72302,2-1,,1,ggs super close,WOE,,,,,,
9/10/2023 9:53:50,Ron C - Lennor#52740,Cody-Rayce MG - Rayce#56572,2-1,,1,Gg,MOM,,,,,,
9/10/2023 11:13:45,Paul G - TheDragon#61289,Kevin I - kni1993#29285,2-1,,1,,WOE,,,,,,
9/10/2023 11:37:52,Jondrion J - jondrion#40531,Ron C - Lennor#52740,2-0,,1,,MOM,,,,,,
