Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Messaged?
6/15/2024 1:24:53,Sawyer T - soyboy#35469,Evan W - baminoscaa#04385,2-0,,1,,
6/15/2024 1:45:34,Patrick M - FullestJ#22936,Ron C - Lennor#52740,2-1,,1,,
6/15/2024 5:27:06,Aaron A - Eclipse2470#03650,Oskar T - ossytubbi#87966,2-1,,1,,
6/15/2024 5:30:38,Cody-Rayce MG - Rayce#56572,Matthias H - Rezreh#11308,2-0,,1,ggs,
6/15/2024 6:05:25,Oskar T - ossytubbi#87966,Tom M - TomSoniQ#28649,2-0,,1,,
6/15/2024 6:23:42,Aaron A - Eclipse2470#03650,Matthias H - Rezreh#11308,2-0,,1,,
6/15/2024 7:01:00,Zach C - ZachCarr#31881,Avery JB - Averyoftheelves#92950,2-1,,1,Gl in the league,
6/15/2024 7:32:25,Matthias H - Rezreh#11308,Wesley C - GigaVoltaic#11782,2-1,,1,,
6/15/2024 8:25:59,Chris Y - Yorke on Games#66909,Daniel M - HPWizard#40332,2-0,,1,Blocked the goblin,
6/15/2024 9:40:52,Gabe P - GLP#6825,Chris Y - Yorke on Games#66909,2-0,,1,,
6/15/2024 10:21:09,Chris S - shipleycgm#89474,Tom M - TomSoniQ#28649,2-1,,1,Emerge - whoa!,
6/15/2024 10:29:20,Chris Y - Yorke on Games#66909,Matthias H - Rezreh#11308,2-0,,1,+1/+1,
6/15/2024 11:23:51,Lotte P - Lotte #93345,Chris S - shipleycgm#89474,2-1,,1,,
6/15/2024 11:24:36,Matthias H - Rezreh#11308,Gabe P - GLP#6825,2-0,,1,,
6/15/2024 12:08:58,Caleb G - Whynaut#28590,DeWitt K - SeethingOctopus#02129,2-1,,1,,
6/15/2024 12:19:11,Blake R - Trogdorr#20061,Nadir C - Diddy#38922,2-0,,1,,
6/15/2024 12:44:04,François R - Ayora#29960,Caleb G - Whynaut#28590,2-1,,1,,
6/15/2024 13:31:44,Gabe P - GLP#6825,Alexis M - Alexsfly#67052,2-1,,1,longest bo3 ever?,
6/15/2024 13:33:07,Alex H - Merriman#08092,Chris S - shipleycgm#89474,2-1,,1,,
6/15/2024 14:05:31,Damon B - Nomad#43918,Joseph H - Sexcellence#51112,2-1,,1,,
6/15/2024 14:39:26,Gabe P - GLP#6825,Julian K - Citizen_Snippies#31245,2-1,,1,,
6/15/2024 15:29:42,Gabe P - GLP#6825,Sawyer T - soyboy#35469,2-1,,1,,
6/15/2024 15:36:39,François R - Ayora#29960,Joseph H - Sexcellence#51112,2-1,,1,,
6/15/2024 15:49:57,Chris D - Stereolab#37691,Dave T - RestiveNebula#74573,2-1,,1,,
6/15/2024 16:39:03,Kyle C - AFKyle#29319,Chris D - Stereolab#37691,2-0,,1,,
6/15/2024 16:39:54,Alexis M - Alexsfly#67052,Alex O - NLP#02898,2-0,,1,,
6/15/2024 16:39:59,Damon B - Nomad#43918,François R - Ayora#29960,2-1,,1,,
6/15/2024 16:55:40,Maranda L - BlackCanary#59791,Jondrion J - jondrion#40531,2-0,,1,,
6/15/2024 17:17:53,John P - gokuorgohome#51511,Wesley C - GigaVoltaic#11782,2-0,,1,,
6/15/2024 17:45:24,Jordan M - JMTron#46639,Chris D - Stereolab#37691,2-1,,1,,
6/15/2024 17:54:04,Maranda L - BlackCanary#59791,James M - Sol_Ring#09384,2-0,,1,,
6/15/2024 17:58:43,Cody-Rayce MG - Rayce#56572,Dave T - RestiveNebula#74573,2-0,,1,ggs,
6/15/2024 17:58:57,Alexis M - Alexsfly#67052,Nick A - Nistar#14127,2-1,,1,,
6/15/2024 18:14:51,Miguel B - Ethereus#60108,Chris D - Stereolab#37691,2-0,,1,GG!,
6/15/2024 18:45:58,Cody-Rayce MG - Rayce#56572,Zev G - Meep3278#19615,2-1,,1,ggs wp,
6/15/2024 18:50:46,Dave T - RestiveNebula#74573,John P - gokuorgohome#51511,2-1,,1,,
6/15/2024 19:08:01,Daniel S - Obitus#54120,Chris D - Stereolab#37691,2-1,,1,,
6/15/2024 20:14:25,Daniel G - FriskyHobbit#43185,Kevin I - kni1993#29285,2-0,,1,,
6/15/2024 23:19:02,Kyle C - AFKyle#29319,Preston B - Vorbis#46420,2-1,,1,,
6/15/2024 23:35:35,Maranda L - BlackCanary#59791,Jethro J - bigxjulius#88849,2-0,,1,,
6/16/2024 0:00:07,Alex O - NLP#02898,Kyle C - AFKyle#29319,2-1,,1,"Crazy close game, down to just a single color of mana not being available :O",
6/16/2024 0:30:57,Alex O - NLP#02898,Alex H - Merriman#08092,2-0,,1,"Deathtouch + Shield Counter, terror",
6/16/2024 0:42:33,Jethro J - bigxjulius#88849,Jeremy E - Lhurgoyf#37289,2-1,,1,,
6/16/2024 1:32:40,Damon B - Nomad#43918,Alexandre GA - AGA#86404,2-1,,1,,
6/16/2024 3:21:20,Aaron A - Eclipse2470#03650,Alexandre GA - AGA#86404,2-1,,1,GGs! Amazing games. ,
6/16/2024 4:16:51,Aaron A - Eclipse2470#03650,Cyril C - knightt76#92032,2-0,,1,GGs,
6/16/2024 8:50:11,Wesley C - GigaVoltaic#11782,Cody-Rayce MG - Rayce#56572,2-0,,1,,
6/16/2024 8:59:28,Zach C - ZachCarr#31881,Alex S - Nicol Bolas#02755,2-0,,1,GGs,
6/16/2024 9:19:40,Avery JB - Averyoftheelves#92950,Max B - baymillionaire#63544,2-0,,1,,
6/16/2024 9:44:32,Alex S - Nicol Bolas#02755,Wesley C - GigaVoltaic#11782,2-1,,1,,
6/16/2024 9:53:46,Cédric L - Hota#65816,Ryan M - rrrn22#32842,2-0,,1,,
6/16/2024 10:01:52,Zach C - ZachCarr#31881,Nadir C - Diddy#38922,2-1,,1,GGs,
6/16/2024 10:11:36,Wesley C - GigaVoltaic#11782,Alex H - Merriman#08092,2-0,,1,,
6/16/2024 11:21:39,Julian K - Citizen_Snippies#31245,Nick A - Nistar#14127,2-0,,1,,
6/16/2024 12:17:39,Nick A - Nistar#14127,François R - Ayora#29960,2-1,,1,,
6/16/2024 13:03:19,Chris O - Chriso91#46230,Ryan D - TheSlickness#10857,2-1,,1,,
6/16/2024 13:57:22,Evan L - Evan#97713,Daniel H - Cosmonaught#43147,2-0,,1,,
6/16/2024 14:01:00,Christopher S - Stemz#96067,Matt K - KirbyKong#37457,2-1,,1,gg!,
6/16/2024 15:02:33,Kevin I - kni1993#29285,Michael B - Monkeymage#12141,2-0,,1,,
6/16/2024 15:54:41,Philip B - Plipster#75000,Dirk E - BegginBlue#16667,2-1,,1,,
6/16/2024 16:15:29,Michael B - Monkeymage#12141,Lotte P - Lotte #93345,2-1,,1,,
6/16/2024 16:19:27,Philip B - Plipster#75000,Blake R - Trogdorr#20061,2-0,,1,,
6/16/2024 17:08:08,James M - Sol_Ring#09384,Blake R - Trogdorr#20061,2-0,,1,,
6/16/2024 17:16:37,Kyle C - AFKyle#29319,John P - gokuorgohome#51511,2-0,,1,,
6/16/2024 17:35:50,Dirk E - BegginBlue#16667,Michael M - Atombomb11991#07305,2-1,,1,,
6/16/2024 18:47:34,Chris S - shipleycgm#89474,James M - Sol_Ring#09384,2-0,,1,,
6/16/2024 19:08:30,John P - gokuorgohome#51511,Craig B - DraftHavoc#97754,2-0,,1,,
6/16/2024 19:18:02,Philip B - Plipster#75000,Doug Co - daceris#24713,2-0,,1,,
6/16/2024 19:43:13,Craig B - DraftHavoc#97754,Doug Co - daceris#24713,2-0,,1,,
6/16/2024 20:17:33,Aaron B - Bevelman#18220,Philip B - Plipster#75000,2-0,,1,ggs!,
6/16/2024 20:32:34,Evan L - Evan#97713,Michael B - Monkeymage#12141,2-1,,1,,
6/16/2024 20:56:14,Evan L - Evan#97713,Philip B - Plipster#75000,2-0,,1,,
6/16/2024 21:22:15,Matt K - KirbyKong#37457,Mitchel S - SpaghettiMitch#18619,2-0,,1,,
6/16/2024 22:29:26,Adam S - wizma#29010,Matthew G - Wolfeye#03170,2-1,,1,Great match! Huge creatures! Welcome to the league!  ,
6/16/2024 22:39:05,James Mc - Fireball#69952,Matt K - KirbyKong#37457,2-0,,1,,
6/16/2024 22:45:25,Zeke W - smarmyplatapus#30066,Evan L - Evan#97713,2-1,,1,,
6/16/2024 22:56:02,Craig B - DraftHavoc#97754,Preston B - Vorbis#46420,2-1,,1,,
6/16/2024 23:20:21,James Mc - Fireball#69952,Mitchel S - SpaghettiMitch#18619,2-0,,1,,
6/16/2024 23:37:46,Aaron B - Bevelman#18220,Jack H - Rakic#98298,2-0,,1,,
6/17/2024 0:13:29,Justin P - Code Pigeon#84057,Cyril C - knightt76#92032,2-0,,1,,
6/17/2024 0:14:27,Blake R - Trogdorr#20061,Julian K - Citizen_Snippies#31245,2-0,,1,,
6/17/2024 0:33:49,Ron C - Lennor#52740,Michael B - Monkeymage#12141,2-1,,1,,
6/17/2024 0:55:27,Evan L - Evan#97713,Zach L - Redwood#12970,2-1,,1,,
6/17/2024 6:26:48,Jethro J - bigxjulius#88849,François R - Ayora#29960,2-0,,1,,
6/17/2024 9:01:06,Cédric L - Hota#65816,Kevin I - kni1993#29285,2-1,,1,,
6/17/2024 9:46:51,Dirk E - BegginBlue#16667,Cédric L - Hota#65816,2-0,,1,Great games!,
6/17/2024 10:32:38,John P - gokuorgohome#51511,Nicholas K - Bionick#55161,2-0,,1,,
6/17/2024 11:06:15,Chris O - Chriso91#46230,DeWitt K - SeethingOctopus#02129,2-0,,1,,
6/17/2024 11:09:46,Craig B - DraftHavoc#97754,Richard K - preacher26#59445,2-1,,1,,
6/17/2024 11:33:29,Harry B - Midnight_0il#97781,Cédric L - Hota#65816,2-0,,1,,
6/17/2024 11:40:57,DeWitt K - SeethingOctopus#02129,James Mc - Fireball#69952,2-0,,1,gg!,
6/17/2024 11:58:30,Harry B - Midnight_0il#97781,Thijn H - Thi-Jin#83537,2-0,,1,,
6/17/2024 12:18:18,Cédric L - Hota#65816,Thijn H - Thi-Jin#83537,2-0,,1,,
6/17/2024 12:18:58,Harry B - Midnight_0il#97781,Craig B - DraftHavoc#97754,2-0,,1,,
6/17/2024 12:50:06,Thijn H - Thi-Jin#83537,Carlos V - ShuntStub#78198,2-0,,1,,
6/17/2024 12:51:54,Dirk E - BegginBlue#16667,Harry B - Midnight_0il#97781,2-0,,1,,
6/17/2024 13:29:09,Nik S - njsiii#50504,Nicholas K - Bionick#55161,2-0,,1,,
6/17/2024 14:23:12,Paul G - TheDragon#61289,Dave T - RestiveNebula#74573,2-0,,1,,
6/17/2024 14:55:45,Tony G - YnotRock#76764,Daniel S - Obitus#54120,2-0,,1,Ggs!,
6/17/2024 15:01:10,Daniel H - Cosmonaught#43147,Zach L - Redwood#12970,2-1,,1,,
6/17/2024 15:20:28,DeWitt K - SeethingOctopus#02129,Nik S - njsiii#50504,2-1,,1,ggs,
6/17/2024 15:32:45,Tony G - YnotRock#76764,Nadir C - Diddy#38922,2-1,,1,GGS! So close,
6/17/2024 15:35:54,Chris O - Chriso91#46230,Christopher S - Stemz#96067,2-1,,1,,
6/17/2024 15:48:57,Daniel H - Cosmonaught#43147,Dave T - RestiveNebula#74573,2-0,,1,,
6/17/2024 16:11:14,Christopher S - Stemz#96067,Zach L - Redwood#12970,2-0,,1,gg,
6/17/2024 16:18:10,Kyle C - AFKyle#29319,Maranda L - BlackCanary#59791,2-0,,1,,
6/17/2024 16:19:36,Nicholas K - Bionick#55161,Jondrion J - jondrion#40531,2-0,,1,,
6/17/2024 16:38:03,Christopher S - Stemz#96067,Zev G - Meep3278#19615,2-0,,1,gg,
6/17/2024 16:54:06,Jondrion J - jondrion#40531,Tony G - YnotRock#76764,2-0,,1,,
