Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack - must be ONE for Compleated players,,Punishment Pack choice?
2/18/2023 2:29:54,Dan A - BEATDOWNBRINGA#04779,Kyle C - AFKyle#29319,2-0,,1,,ONE,,
2/18/2023 3:45:54,Dan K - Fizishy#82483,Patrick M - FullestJ#22936,2-0,,1,,ONE,,
2/18/2023 8:28:26,Kevin I - kni1993#29285,John R - Ged#72302,2-0,,1,Ggs,ONE,,
2/18/2023 9:38:18,Pierre-Marc D - pmduguay#67919,John R - Ged#72302,2-1,,1,,ONE,,
2/18/2023 11:16:56,Serge T - Sergyboy514#39979,Johnny M - Johnny#69519,2-0,,1,,ONE,,
2/18/2023 11:43:23,Jeremy E - Lhurgoyf#37289,Johnny M - Johnny#69519,2-0,,1,,ONE,,
2/18/2023 11:51:48,Krzys H - FaceBeardMcBeard#24731,Troy R - Pengwin#05127,2-1,,1,,ONE,,
2/18/2023 12:06:41,Ron C - lennor#52740,Serge T - Sergyboy514#39979,2-0,,1,GG,BRO,,
2/18/2023 12:50:48,Mason G - bear6875#02260,Chris P - Joker01#66827,2-1,,1,,ONE,,
2/18/2023 12:56:22,Johnny M - Johnny#69519,Steve T - strout#45062,2-0,,1,,NEO,,
2/18/2023 13:21:22,Mason G - bear6875#02260,Troy R - Pengwin#05127,2-0,,1,,ONE,,
2/18/2023 13:40:50,Kevin I - kni1993#29285,Dan A - BEATDOWNBRINGA#04779,2-0,,1,Ggs,ONE,,
2/18/2023 13:46:29,Mike B - Xenomorph#62228,Amir A - HowDoesOneChoose#47480,2-0,,1,,ONE,,
2/18/2023 13:47:07,Brendan Y - Earthmover#56028,Nik S - njsiii#50504,2-1,,1,,ONE,,
2/18/2023 13:56:45,Dan K - Fizishy#82483,Krzys H - FaceBeardMcBeard#24731,2-1,,1,,ONE,,
2/18/2023 14:12:14,Brendan Y - Earthmover#56028,Mason G - bear6875#02260,2-1,,1,,ONE,,
2/18/2023 14:16:06,Amir A - HowDoesOneChoose#47480,Dan A - BEATDOWNBRINGA#04779,2-0,,1,he had shit luck.,ONE,,
2/18/2023 14:21:11,Zeke W - smarmyplatapus#30066,Nik S - njsiii#50504,2-1,,1,,ONE,,
2/18/2023 14:34:50,Lotte P - Lotte #93345,Mike B - Xenomorph#62228,2-1,,1,,VOW,,
2/18/2023 14:59:05,Nik S - njsiii#50504,Lotte P - Lotte #93345,2-1,,1,,ONE,,
2/18/2023 15:08:33,Mason G - bear6875#02260,Dan K - Fizishy#82483,2-0,,1,,NEO,,
2/18/2023 15:27:28,John P - gokuorgohome#51511,Lotte P - Lotte #93345,2-0,,1,,ONE,,
2/18/2023 15:52:23,John P - gokuorgohome#51511,Mike B - Xenomorph#62228,2-0,,1,,SNC,,
2/18/2023 16:01:49,Mason G - bear6875#02260,Maxime R - Tasigurr#89921,2-1,,1,,ONE,,
2/18/2023 16:13:02,Jesse R - Zephaer#38941,Shuo L - Tamamo#30654,2-0,,1,,ONE,,
2/18/2023 16:50:24,Serge T - Sergyboy514#39979,Paul G - TheDragon#61289,2-0,,1,,BRO,,
2/18/2023 17:18:02,Jesse R - Zephaer#38941,Audi J - Squeakz#38671,2-0,,1,,MID,,
2/18/2023 17:21:00,Shuo L - Tamamo#30654,Paul G - TheDragon#61289,2-0,,1,,ONE,,
2/18/2023 17:54:54,Shuo L - Tamamo#30654,Mike P - UnwieldyBiscuit#26471,2-1,,1,,SNC,,
2/18/2023 18:00:16,Doug Co - daceris#24713,Paul G - TheDragon#61289,2-0,,1,,ONE,,
2/18/2023 18:08:25,John P - gokuorgohome#51511,Shuo L - Tamamo#30654,2-0,,1,,ONE,,
2/18/2023 21:33:11,Ryan D - TheSlickness#10857,Russell S - rstad#89052,2-1,,1,,NEO,,
2/18/2023 23:13:15,Zeke W - smarmyplatapus#30066,Stephan J - Saeijou#27763,2-1,,1,Misclicks suck =(,ONE,,
2/18/2023 23:13:25,Ryan D - TheSlickness#10857,Sean S - UnknownThursday#95034,2-0,,1,,ONE,,
2/18/2023 23:37:12,Zeke W - smarmyplatapus#30066,Eric S - Smitte#94855,2-1,,1,,NEO,,
2/18/2023 23:40:20,Jordan M - JMTron#46639,Stephan J - Saeijou#27763,2-0,,1,,ONE,,
2/19/2023 0:36:58,Trevor F - treskies#75643,Stephan J - Saeijou#27763,2-1,,1,,ONE,,
2/19/2023 2:08:23,Jesse R - Zephaer#38941,Anthony S - Kingboars#88381,2-0,,1,,ONE,,
2/19/2023 11:42:33,Krzys H - FaceBeardMcBeard#24731,Mike P - UnwieldyBiscuit#26471,2-0,,1,,SNC,,
2/19/2023 12:44:27,Mike B - Xenomorph#62228,Jordan M - JMTron#46639,2-0,,1,,ONE,,
2/19/2023 13:53:52,Rafael F - Prudent#24319,Shane K - Malfunktion#31013,2-0,,1,gg!,ONE,,
2/19/2023 15:17:32,Xander B - Loudnes#53855,Christopher S - Stemz#96067,2-1,,1,,ONE,,
2/19/2023 16:00:41,Paul G - TheDragon#61289,Dennis K - Mazamune#87737,2-0,,1,,BRO,,
2/19/2023 16:23:54,Christopher S - Stemz#96067,Brendan Y - Earthmover#56028,2-0,,1,,VOW,,
2/19/2023 16:39:46,Xander B - Loudnes#53855,Tim M - Ancra#27039,2-1,,1,,ONE,,
2/19/2023 17:52:13,Christopher S - Stemz#96067,Nik S - njsiii#50504,2-0,,1,gg ! ,ONE,,
2/19/2023 19:14:05,Stephan J - Saeijou#27763,Chris P - Joker01#66827,2-0,,1,,VOW,,
2/19/2023 21:37:38,Jordan M - JMTron#46639,Daniel G - FriskyHobbit#43185,2-1,,1,,VOW,,
2/19/2023 22:09:29,Audi J - Squeakz#38671,Zeke W - smarmyplatapus#30066,2-0,,1,,ONE,,
